target_dataset,target_error,source_datasets,base_alpha,residual_alpha,base_features,residual_features,base_coefficients,residual_coefficients,base_intercept,residual_intercept
Adamson,gears_ensemble_rmse,Frangieh;Norman,0.1,1.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.28875909445047776, 0.11829574407080955]","[0.2761446807742429, 0.009651850940265074, 0.14821700565405177]",0.30882560493682953,-0.22604871737945825
Adamson,scgpt_finetuned_rmse,Frangieh;Norman,10.0,0.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.026107608336160975, 0.04083662306517573]","[0.3247341653018927, -0.05258696198304599, 0.22942331626960216]",0.4859665461451372,-0.26123464561898385
Adamson,task_mean_rmse,Frangieh;Norman,1.0,0.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.1780653471728909, 0.11891664623314514]","[0.38540202414763425, -0.020728979330142578, 0.19175610844712596]",0.3661552117676896,-0.2898068506586551
Adamson,task_max_rmse,Frangieh;Norman,1.0,0.1,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.18806115952769195, 0.10790637788037295]","[0.38198581367740087, 0.009275329132200099, 0.16949718570675365]",0.3666835742666329,-0.2920616294356014
Norman,gears_ensemble_rmse,Adamson;Frangieh,0.1,0.1,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.19090188347574052, 0.0945687573104204]","[0.34960961436026544, -0.14976368867721623, 0.1933792435818231]",0.3721507079238745,-0.20480477565878769
Norman,scgpt_finetuned_rmse,Adamson;Frangieh,100.0,1.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[-0.0004288643923037925, 0.006561686657115059]","[0.3285469531644592, -0.023161228441083877, 0.19251139140092222]",0.5176391550704108,-0.2593214146480717
Norman,task_mean_rmse,Adamson;Frangieh,1.0,1.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.0844231679743391, 0.11618065624572128]","[0.3313988971747171, -0.032527979463571194, 0.1556563781245925]",0.41635217488538523,-0.23673296658111379
Norman,task_max_rmse,Adamson;Frangieh,10.0,0.1,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.026865524576970192, 0.06156068485352585]","[0.5573148594760471, -0.22220707464496842, 0.19698857645988962]",0.47477801592161667,-0.2771335215057127
Frangieh,gears_ensemble_rmse,Adamson;Norman,0.0,1.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.15598524613886913, 0.24882505196411198]","[0.29880690406827853, 0.09437323609616363, -0.14598784725658637]",0.3099946364046974,-0.12874598588950825
Frangieh,scgpt_finetuned_rmse,Adamson;Norman,1.0,1.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[-0.08300145597807468, 0.3032395512161699]","[0.18419690261296273, 0.007726916687034907, 0.054304376508227295]",0.4061259920634921,-0.1282438519834505
Frangieh,task_mean_rmse,Adamson;Norman,0.1,1.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[0.028873676779645932, 0.3495819319391208]","[0.2565504070249158, 0.08232041588303954, -0.13088931384778246]",0.3237210371256424,-0.10832370263550672
Frangieh,task_max_rmse,Adamson;Norman,0.1,10.0,rank_gears_magnitude;rank_scgpt_magnitude,rank_model_disagreement;rank_relative_disagreement;rank_magnitude_gap,"[-0.054695362582076405, 0.4078984460483179]","[0.08601836186931132, 0.049853057917166835, 0.0020171493885830696]",0.33687339402799926,-0.0718169631120111
