score,target,n_datasets,n_tasks,stratified_mean_spearman,bootstrap_ci95_low,bootstrap_ci95_high,permutation_p_one_sided
model_disagreement,GEARS_RMSE,3,72,0.45623188405797105,0.2458484021761977,0.6565188387411356,9.999000099990002e-05
model_disagreement,scGPT_RMSE,3,72,0.3892753623188406,0.1615595331362664,0.6059697825658327,0.0005999400059994001
model_disagreement,pair_mean_RMSE,3,72,0.4771014492753623,0.2683522513775105,0.6739423611110809,9.999000099990002e-05
model_disagreement,pair_max_RMSE,3,72,0.5217391304347826,0.31264314187743947,0.707222831904429,9.999000099990002e-05
magnitude_mean_rank,GEARS_RMSE,3,72,0.2871668774932272,0.05289108480367825,0.5022518811422935,0.008899110088991101
magnitude_mean_rank,scGPT_RMSE,3,72,0.15765615294228705,-0.07923481269019403,0.39842273656132327,0.0953904609539046
magnitude_mean_rank,pair_mean_RMSE,3,72,0.2551549798485454,0.014984934216270826,0.48521819881981454,0.0174982501749825
magnitude_mean_rank,pair_max_RMSE,3,72,0.2629979079333621,0.026722277052564063,0.49753610496774,0.014498550144985502
magnitude_max_rank,GEARS_RMSE,3,72,0.29767501546804914,0.06693553499529496,0.5120513214215768,0.005599440055994401
magnitude_max_rank,scGPT_RMSE,3,72,0.1621046884799285,-0.07207828488579915,0.3951503107126337,0.0897910208979102
magnitude_max_rank,pair_mean_RMSE,3,72,0.2745730831320712,0.03344479751771882,0.4975204988783895,0.0098990100989901
magnitude_max_rank,pair_max_RMSE,3,72,0.2886913528186263,0.06013737336492615,0.5094876934315351,0.007899210078992101
