perturbation,n_seeds,all_three_seeds_present,in_frozen_test_manifest,n_cells_test,error_gears_ensemble_rmse,error_seed_mean_rmse,error_seed_std_rmse,risk_ensemble_disagreement,risk_predicted_magnitude,risk_gears_native_logvar,true_l2_diagnostic,true_max_abs_diff_across_seeds,training_support_for_heldout_gene
ACSL3+ctrl,3,True,True,317,0.04329832862809222,0.04492988535758156,0.0006040355671162155,0.012013084255158901,1.6771557331085205,,1.9176599979400635,0.0,0
AGA+ctrl,3,True,True,621,0.031009359236825008,0.03363131222943059,0.0008024211050450934,0.013043338432908058,1.462680697441101,,1.1729944944381714,0.0,0
CCND2+ctrl,3,True,True,563,0.031167878120682394,0.03444587253925658,0.001318531953044498,0.014724810607731342,1.426283359527588,,1.2127765417099,0.0,0
CTSA+ctrl,3,True,True,600,0.03465523974050138,0.037470081758247835,0.0004486560773676022,0.01425561960786581,1.5190502405166626,,1.3596251010894775,0.0,0
DAG1+ctrl,3,True,True,522,0.032243908797153456,0.034928269582667405,0.0009223725471338086,0.013459760695695877,1.5051214694976807,,1.2104606628417969,0.0,0
EVA1A+ctrl,3,True,True,519,0.032439669984941716,0.035226202822297575,0.0008625401174298422,0.013758530840277672,1.5374284982681274,,1.1819874048233032,0.0,0
HLA-DRB5+ctrl,3,True,True,704,0.029399507113032665,0.03293438399462208,0.0013774115583859892,0.014907712116837502,1.43607497215271,,1.0942195653915405,0.0,0
HLA-E+ctrl,3,True,True,518,0.03556433090223755,0.0394492494248294,0.0021234298657766275,0.017202632501721382,1.5915570259094238,,1.3710262775421143,0.0,0
IDH2+ctrl,3,True,True,700,0.0323549500524805,0.03537859191316416,0.0013984205616855113,0.014379067346453667,1.4946608543395996,,1.215988278388977,0.0,0
LAMP2+ctrl,3,True,True,650,0.033225553537626136,0.035982251962611796,0.0009085716554538482,0.013842346146702766,1.636704444885254,,1.1469416618347168,0.0,0
LGALS3+ctrl,3,True,True,493,0.03568764432367699,0.03751714424352413,0.00019359948785425377,0.011574352160096169,1.5417917966842651,,1.4261950254440308,0.0,0
NDUFA13+ctrl,3,True,True,291,0.0421604080501875,0.04443421709197589,0.0009147576119120824,0.014061878435313702,1.8342856168746948,,1.695024847984314,0.0,0
NGFR+ctrl,3,True,True,487,0.034442653636546285,0.03659906108814731,0.001124521906019095,0.012428171001374722,1.5485786199569702,,1.2999166250228882,0.0,0
NMRK1+ctrl,3,True,True,599,0.031408141911329755,0.033611398153184195,0.0007553563373967431,0.011992717161774635,1.4198615550994873,,1.1785444021224976,0.0,0
PFDN4+ctrl,3,True,True,601,0.03114505421348004,0.033300457782056765,0.000381977423815532,0.011792031116783619,1.4931576251983643,,1.2038846015930176,0.0,0
PFN1+ctrl,3,True,True,280,0.04617403217216632,0.04764167477665537,0.00015766743847929802,0.011735109612345695,1.8289072513580322,,1.8358465433120728,0.0,0
RNASEH2A+ctrl,3,True,True,268,0.048069208497621765,0.04969574082634809,0.0004914597754435056,0.012619800865650177,1.893660545349121,,1.9489176273345947,0.0,0
SEC11C+ctrl,3,True,True,595,0.032037548558302445,0.034652362168551755,0.0012281180576605485,0.013262351043522358,1.4617048501968384,,1.2274550199508667,0.0,0
SGK1+ctrl,3,True,True,573,0.03200860039125036,0.03446951329891879,0.00036733033383029383,0.012795771472156048,1.5503484010696411,,1.1692790985107422,0.0,0
SMAD3+ctrl,3,True,True,704,0.03087348844880218,0.03449201112082742,0.001474199934944691,0.015449912287294865,1.4598941802978516,,1.1280981302261353,0.0,0
TM4SF1+ctrl,3,True,True,633,0.03050341323498814,0.03298726515655881,0.0006100007921217037,0.012572729960083961,1.4482362270355225,,1.1778627634048462,0.0,0
TRIM22+ctrl,3,True,True,483,0.03294331666721822,0.03548781302805538,0.00044833428668677517,0.013203172944486141,1.511141300201416,,1.2006466388702393,0.0,0
TXNDC17+ctrl,3,True,True,523,0.04131128655810944,0.04316471313529489,0.00035659965353219264,0.012517875991761684,1.5263195037841797,,1.7910500764846802,0.0,0
UCN2+ctrl,3,True,True,484,0.03657984636356948,0.03882444365952269,0.0007135653548747472,0.013029253110289574,1.6224197149276733,,1.2971751689910889,0.0,0
