split,condition
train,ctrl
train,CBL+UBASH3A
train,CBL+UBASH3B
train,CBL+ctrl
train,CDKN1A+CDKN1B
train,CDKN1A+CDKN1C
train,CDKN1A+ctrl
train,CDKN1B+CDKN1C
train,CDKN1B+ctrl
train,CEBPA+CEBPB
train,CEBPA+CEBPE
train,CEBPA+JUN
train,CEBPA+KLF1
train,CEBPA+ZC3HAV1
train,CEBPB+CEBPE
train,CEBPB+FOSB
train,CEBPB+JUN
train,CEBPB+LYL1
train,CEBPB+MAPK1
train,CEBPB+OSR2
train,CEBPB+PTPN12
train,CEBPE+CNN1
train,CEBPE+ETS2
train,CEBPE+FOSB
train,CEBPE+KLF1
train,CEBPE+PTPN12
train,CEBPE+RUNX1T1
train,CEBPE+SET
train,CEBPE+SPI1
train,CEBPE+ZC3HAV1
train,CEBPE+ctrl
train,CITED1+ctrl
train,CKS1B+ctrl
train,CLDN6+KLF1
train,CLDN6+ctrl
train,CNN1+ETS2
train,CNN1+MAPK1
train,CNN1+UBASH3A
train,CNN1+UBASH3B
train,CNN1+ctrl
train,CNNM4+ctrl
train,COL2A1+KLF1
train,DLX2+SNAI1
train,DLX2+ZBTB10
train,DUSP9+ETS2
train,DUSP9+IGDCC3
train,DUSP9+KLF1
train,DUSP9+MAPK1
train,DUSP9+PRTG
train,DUSP9+SNAI1
train,DUSP9+ctrl
train,EGR1+ctrl
train,ETS2+IGDCC3
train,ETS2+IKZF3
train,ETS2+MAP7D1
train,ETS2+MAPK1
train,ETS2+PRTG
train,ETS2+TGFBR2
train,ETS2+ctrl
train,FEV+ISL2
train,FEV+MAP7D1
train,FEV+ctrl
train,FOSB+IKZF3
train,FOSB+OSR2
train,FOSB+PTPN12
train,FOSB+UBASH3B
train,FOSB+ctrl
train,FOXA1+FOXA3
train,FOXA1+FOXF1
train,FOXA1+FOXL2
train,FOXA1+HOXB9
train,FOXA1+KLF1
train,FOXA1+ctrl
train,FOXA3+FOXF1
train,FOXA3+FOXL2
train,FOXA3+HOXB9
train,FOXA3+ctrl
train,FOXF1+FOXL2
train,FOXF1+HOXB9
train,FOXF1+ctrl
train,FOXL2+HOXB9
train,FOXL2+MEIS1
train,FOXL2+POU3F2
train,FOXL2+ZNF318
train,FOXL2+ctrl
train,FOXO4+ctrl
train,GLB1L2+ctrl
train,HES7+ctrl
train,HNF4A+ctrl
train,HOXB9+ctrl
train,HOXC13+ZC3HAV1
train,HOXC13+ctrl
train,IER5L+LYL1
train,IER5L+ctrl
train,IGDCC3+MAPK1
train,IGDCC3+PRTG
train,IGDCC3+TGFBR2
train,IGDCC3+ZBTB25
train,IGDCC3+ctrl
train,IKZF3+MAP2K3
train,IKZF3+MAP2K6
train,IKZF3+MAPK1
train,IKZF3+ctrl
train,IRF1+SET
train,IRF1+ctrl
train,ISL2+ctrl
train,JUN+ctrl
train,KIF18B+KIF2C
train,KIF18B+ctrl
train,KIF2C+ctrl
train,KLF1+MAP2K6
train,KLF1+SET
train,KLF1+TGFBR2
train,KLF1+ctrl
train,KMT2A+ctrl
train,LHX1+ctrl
train,LYL1+ctrl
train,MAML2+ctrl
train,MAP2K3+MAP2K6
train,MAP2K3+SLC38A2
train,MAP2K3+ctrl
train,MAP2K6+SPI1
train,MAP2K6+ctrl
train,MAP4K3+ctrl
train,MAP4K5+ctrl
train,MAP7D1+ctrl
train,MAPK1+PRTG
train,MAPK1+TGFBR2
train,MAPK1+ctrl
train,MEIS1+ctrl
train,MIDN+ctrl
train,NIT1+ctrl
train,OSR2+PTPN12
train,OSR2+UBASH3B
train,OSR2+ctrl
train,PLK4+STIL
train,PLK4+ctrl
train,POU3F2+ctrl
train,PRDM1+ctrl
train,PRTG+TGFBR2
train,PRTG+ctrl
train,PTPN1+ctrl
train,PTPN12+PTPN9
train,PTPN12+SAMD1
train,PTPN12+SNAI1
train,PTPN12+UBASH3A
train,PTPN12+UBASH3B
train,PTPN12+ZBTB10
train,PTPN12+ZBTB25
train,PTPN12+ctrl
train,PTPN13+ctrl
train,PTPN9+UBASH3B
train,PTPN9+ctrl
train,RHOXF2+SET
train,RHOXF2+ZBTB25
train,RHOXF2+ctrl
train,RUNX1T1+ctrl
train,S1PR2+SGK1
