panel_index,gene,selection_role,train_expression_sum,in_scgpt_vocab,uses_test_expression_effect_or_error
0,ACSL3,fixed_test_perturbation_gene,92817.375,True,False
1,AGA,fixed_test_perturbation_gene,33093.9921875,True,False
2,CCND2,fixed_test_perturbation_gene,63.00369644165039,True,False
3,CTSA,fixed_test_perturbation_gene,100741.8984375,True,False
4,DAG1,fixed_test_perturbation_gene,22484.873046875,True,False
5,EVA1A,fixed_test_perturbation_gene,39143.765625,True,False
6,HLA-DRB5,fixed_test_perturbation_gene,375.1744689941406,True,False
7,HLA-E,fixed_test_perturbation_gene,112941.7265625,True,False
8,IDH2,fixed_test_perturbation_gene,24607.759765625,True,False
9,LAMP2,fixed_test_perturbation_gene,58410.24609375,True,False
10,LGALS3,fixed_test_perturbation_gene,139078.375,True,False
11,NDUFA13,fixed_test_perturbation_gene,91859.796875,True,False
12,NGFR,fixed_test_perturbation_gene,121.36341094970703,True,False
13,NMRK1,fixed_test_perturbation_gene,17596.765625,True,False
14,PFDN4,fixed_test_perturbation_gene,117913.75,True,False
15,PFN1,fixed_test_perturbation_gene,154719.078125,True,False
16,RNASEH2A,fixed_test_perturbation_gene,2622.855224609375,True,False
17,SEC11C,fixed_test_perturbation_gene,96540.3203125,True,False
18,SGK1,fixed_test_perturbation_gene,37540.0,True,False
19,SMAD3,fixed_test_perturbation_gene,52437.6953125,True,False
20,TM4SF1,fixed_test_perturbation_gene,89283.875,True,False
21,TRIM22,fixed_test_perturbation_gene,8698.5908203125,True,False
22,TXNDC17,fixed_test_perturbation_gene,111550.140625,True,False
23,UCN2,fixed_test_perturbation_gene,3678.66650390625,True,False
24,A2M,training_or_validation_perturbation_gene,96.42475891113281,True,False
25,ACTA2,training_or_validation_perturbation_gene,1790.9949951171875,True,False
26,AEBP1,training_or_validation_perturbation_gene,18573.28125,True,False
27,AHNAK,training_or_validation_perturbation_gene,101964.4609375,True,False
28,APOD,training_or_validation_perturbation_gene,82.86331939697266,True,False
29,APOE,training_or_validation_perturbation_gene,5926.2646484375,True,False
30,ARMC6,training_or_validation_perturbation_gene,25740.564453125,True,False
31,ATP1B1,training_or_validation_perturbation_gene,96726.9453125,True,False
32,B2M,training_or_validation_perturbation_gene,161883.90625,True,False
33,BOLA2,training_or_validation_perturbation_gene,156.5279998779297,True,False
34,BOLA2B,training_or_validation_perturbation_gene,6578.45849609375,True,False
35,BZW2,training_or_validation_perturbation_gene,81379.3515625,True,False
36,C19orf48,training_or_validation_perturbation_gene,47595.91796875,True,False
37,C1QBP,training_or_validation_perturbation_gene,144266.390625,True,False
38,C6orf226,training_or_validation_perturbation_gene,14151.5771484375,True,False
39,CCND1,training_or_validation_perturbation_gene,147215.015625,True,False
40,CCR10,training_or_validation_perturbation_gene,399.7589416503906,True,False
41,CCT3,training_or_validation_perturbation_gene,143370.53125,True,False
42,CD151,training_or_validation_perturbation_gene,78835.1953125,True,False
43,CD274,training_or_validation_perturbation_gene,18971.8125,True,False
