perturbation,n_cells,gears_ensemble_rmse,scgpt_finetuned_rmse,task_mean_rmse,task_max_rmse,risk_gears_scgpt_disagreement,risk_gears_predicted_magnitude,risk_scgpt_predicted_magnitude,true_l2_diagnostic,uses_target_truth_in_deployable_risk
ACSL3+ctrl,317,0.05939375618484524,0.050279796452879374,0.05483677631886231,0.05939375618484524,0.044051954098673705,0.8299488425254822,0.7079965472221375,1.1801282167434692,False
AGA+ctrl,621,0.03635414040598209,0.034735002382050795,0.03554457139401644,0.03635414040598209,0.03930550050423268,0.6949815154075623,0.6601830720901489,0.6640588045120239,False
CCND2+ctrl,563,0.03641782841265098,0.03471235255434905,0.03556509048350001,0.03641782841265098,0.03845053223049731,0.6721771955490112,0.6551392078399658,0.6552155017852783,False
CTSA+ctrl,600,0.04745114655457865,0.03865013376592753,0.04305064016025309,0.04745114655457865,0.04354910561076385,0.7121028304100037,0.7306402325630188,0.8904653191566467,False
DAG1+ctrl,522,0.038160218276242316,0.03649277875423099,0.03732649851523665,0.038160218276242316,0.04011168414877138,0.7287126183509827,0.6634243130683899,0.6092476844787598,False
EVA1A+ctrl,519,0.039483045932099795,0.03307399093845785,0.03627851843527882,0.039483045932099795,0.04158667463033392,0.7426849007606506,0.6571865081787109,0.5892478227615356,False
HLA-DRB5+ctrl,704,0.032818493743437,0.03192314885335521,0.03237082129839611,0.032818493743437,0.03860159552357371,0.6678867340087891,0.6489760875701904,0.5532704591751099,False
HLA-E+ctrl,518,0.045889656464216916,0.038194528450259786,0.04204209245723835,0.045889656464216916,0.04416640844569912,0.7673678398132324,0.7399879097938538,0.8455168008804321,False
IDH2+ctrl,700,0.040074970446005165,0.032752066745653785,0.036413518595829475,0.040074970446005165,0.041355306583076616,0.7143612504005432,0.6631528735160828,0.6990165710449219,False
LAMP2+ctrl,650,0.03957059154447478,0.032134274827657315,0.03585243318606605,0.03957059154447478,0.04245219023789917,0.7499570250511169,0.6984081864356995,0.6859670281410217,False
LGALS3+ctrl,493,0.04580284692528309,0.0441188341704779,0.04496084054788049,0.04580284692528309,0.04600930088538973,0.7669536471366882,0.6823679208755493,0.8493202328681946,False
NDUFA13+ctrl,291,0.0556446658281809,0.047100108170391744,0.051372386999286326,0.0556446658281809,0.05430375837350002,0.9452782869338989,0.7105986475944519,0.9304451942443848,False
NGFR+ctrl,487,0.04295743987209274,0.03684239487119711,0.03989991737164492,0.04295743987209274,0.04157963765680933,0.7597993016242981,0.6480852961540222,0.6720108389854431,False
NMRK1+ctrl,599,0.03898142555194256,0.03678289919597926,0.037882162373960915,0.03898142555194256,0.04210357904460839,0.6641343235969543,0.6646153330802917,0.6460191011428833,False
PFDN4+ctrl,601,0.03633715640436378,0.03563143993461405,0.035984298169488914,0.03633715640436378,0.039927555020153806,0.7169716358184814,0.6978169083595276,0.6305381655693054,False
PFN1+ctrl,280,0.0626894679350755,0.05465938581845893,0.058674426876767216,0.0626894679350755,0.045204481648423285,0.9483721852302551,0.671075701713562,1.091917634010315,False
RNASEH2A+ctrl,268,0.06625315889472212,0.054607770964673806,0.06043046492969796,0.06625315889472212,0.04445492090505613,0.9406556487083435,0.6641448140144348,1.135297179222107,False
SEC11C+ctrl,595,0.04030262728771903,0.03542094073365418,0.0378617840106866,0.04030262728771903,0.03849693420045508,0.6635638475418091,0.6797155737876892,0.6990297436714172,False
SGK1+ctrl,573,0.03786000925114497,0.034647320816643505,0.03625366503389424,0.03786000925114497,0.0414888486623778,0.7717191576957703,0.6741482615470886,0.6035526990890503,False
SMAD3+ctrl,704,0.03828723373581436,0.03444406957539389,0.036365651655604125,0.03828723373581436,0.042952195145994417,0.707002580165863,0.6798815727233887,0.591718316078186,False
TM4SF1+ctrl,633,0.03701509497691599,0.035917646622664376,0.03646637079979018,0.03701509497691599,0.04313333678298122,0.6968737840652466,0.7191616892814636,0.6532915830612183,False
TRIM22+ctrl,483,0.04022829109164948,0.03515102852627424,0.037689659808961856,0.04022829109164948,0.04035393790456424,0.7211467623710632,0.6516550779342651,0.6574273705482483,False
TXNDC17+ctrl,523,0.059080975677619996,0.05222217693369162,0.05565157630565581,0.059080975677619996,0.044261955779497875,0.7272837162017822,0.6880546808242798,1.1405141353607178,False
UCN2+ctrl,484,0.04506781114355059,0.04114117173700216,0.04310449144027637,0.04506781114355059,0.040756236421022364,0.8029478192329407,0.6593976020812988,0.6883859634399414,False
