score,target,n_datasets,n_tasks,stratified_mean_spearman,bootstrap_ci95_low,bootstrap_ci95_high,permutation_p_one_sided
model_disagreement,GEARS_RMSE,6,144,0.4591304347826087,0.3056265488488529,0.5990392349666857,9.999000099990002e-05
model_disagreement,scGPT_RMSE,6,144,0.41985507246376813,0.2729214845514527,0.5574424288560133,9.999000099990002e-05
model_disagreement,pair_mean_RMSE,6,144,0.48884057971014494,0.34822758111984387,0.6172533302449521,9.999000099990002e-05
model_disagreement,pair_max_RMSE,6,144,0.5520289855072463,0.4169595029477466,0.6700784875780603,9.999000099990002e-05
magnitude_mean_rank,GEARS_RMSE,6,144,0.3396176604389964,0.18633387920251906,0.4770630779706294,9.999000099990002e-05
magnitude_mean_rank,scGPT_RMSE,6,144,0.23804060547710318,0.07944199392785757,0.38751264425582477,0.0018998100189981002
magnitude_mean_rank,pair_mean_RMSE,6,144,0.30694994194018005,0.1493513494377692,0.45235809244886954,9.999000099990002e-05
magnitude_mean_rank,pair_max_RMSE,6,144,0.3405071690992549,0.1870049422607233,0.4866753443615233,9.999000099990002e-05
magnitude_max_rank,GEARS_RMSE,6,144,0.34143029998293845,0.18815753125623288,0.4770500812519735,0.00019998000199980003
magnitude_max_rank,scGPT_RMSE,6,144,0.23345187850423335,0.08943503245853876,0.378793725062232,0.0024997500249975004
magnitude_max_rank,pair_mean_RMSE,6,144,0.3221231849101273,0.1650417068158112,0.45851348860594143,9.999000099990002e-05
magnitude_max_rank,pair_max_RMSE,6,144,0.35495643518552916,0.20256931540885145,0.4921384291553636,0.00019998000199980003
