perturbation,mse,pearson,mse_de,pearson_de
ARHGAP22+ctrl,0.0016642485279589891,0.9961054536558881,0.042162954807281494,0.9956977825725623
CCND3+ctrl,0.0023237576242536306,0.9946089256859459,0.10338915884494781,0.9876348478489899
CHERP+ctrl,0.0035985782742500305,0.9917737632758842,0.127585306763649,0.9503888546912562
DHDDS+ctrl,0.006131186615675688,0.9859344841222013,0.5055267214775085,0.9402629671156095
EIF2B2+ctrl,0.007323029451072216,0.9829330511913786,0.4264320433139801,0.8933638945393387
EIF2B3+ctrl,0.009110352955758572,0.9786882138761402,0.5781183838844299,0.8689488966971569
EIF2B4+ctrl,0.004949586465954781,0.9884917490947992,0.3017340898513794,0.9223255497923587
FARSB+ctrl,0.005756947211921215,0.9866140197087873,0.2690568268299103,0.9374333513755954
FECH+ctrl,0.001966794952750206,0.9954959062348216,0.11096075922250748,0.9847580094375329
GNPNAT1+ctrl,0.0011167771881446242,0.9974929694771966,0.023146720603108406,0.9533851846605983
HSPA9+ctrl,0.01212162896990776,0.9714821233609134,0.6159216165542603,0.8519474009592691
HYOU1+ctrl,0.0009135445579886436,0.9980209027076634,0.005562164355069399,0.9618537817788886
KCTD16+ctrl,0.0007877193856984377,0.998195741948601,0.005637189839035273,0.997305656437805
MANF+ctrl,0.0009730258025228977,0.9977578587360711,0.019275089725852013,0.9901242441802174
SAMM50+ctrl,0.003041718853637576,0.9933034493523624,0.13054846227169037,0.9628149619783132
SEC63+ctrl,0.0007069882121868432,0.9984290129110416,0.01812322996556759,0.9914879196292745
SLC39A7+ctrl,0.0013700147392228246,0.9969647916648677,0.055006951093673706,0.9850005692439641
STT3A+ctrl,0.0009200988570228219,0.997880502352283,0.01167684979736805,0.9974177259882903
TIMM44+ctrl,0.00559678440913558,0.9871229956800522,0.23776192963123322,0.9476154734710318
TMEM167A+ctrl,0.0017358798068016768,0.9960949195335023,0.11144930124282837,0.9789902535672601
UFL1+ctrl,0.0009764964925125241,0.9978894236050672,0.031518228352069855,0.9946127436975792
XRN1+ctrl,0.002006788272410631,0.9958036272186804,0.06133066862821579,0.9648498143307852
YIPF5+ctrl,0.001655140076763928,0.9962124505075443,0.12276262044906616,0.9607979762631328
