manifest_id,repeat,perturbation_coverage_target,heldout_context,role,quadrant,n_tasks
E81_r1_p25,1,0.25,A549,test,new_context_new_perturbation,28
E81_r1_p25,1,0.25,A549,test,new_context_seen_perturbation,8
E81_r1_p25,1,0.25,A549,test,seen_context_new_perturbation,51
E81_r1_p25,1,0.25,A549,test,seen_context_seen_perturbation_pair_holdout,4
E81_r1_p25,1,0.25,A549,train,observed_submatrix_train,12
E81_r1_p50,1,0.5,A549,test,new_context_new_perturbation,20
E81_r1_p50,1,0.5,A549,test,new_context_seen_perturbation,16
E81_r1_p50,1,0.5,A549,test,seen_context_new_perturbation,35
E81_r1_p50,1,0.5,A549,test,seen_context_seen_perturbation_pair_holdout,6
E81_r1_p50,1,0.5,A549,train,observed_submatrix_train,26
E81_r1_p75,1,0.75,A549,test,new_context_new_perturbation,8
E81_r1_p75,1,0.75,A549,test,new_context_seen_perturbation,28
E81_r1_p75,1,0.75,A549,test,seen_context_new_perturbation,12
E81_r1_p75,1,0.75,A549,test,seen_context_seen_perturbation_pair_holdout,11
E81_r1_p75,1,0.75,A549,train,observed_submatrix_train,44
E81_r2_p25,2,0.25,K562,test,new_context_new_perturbation,26
E81_r2_p25,2,0.25,K562,test,new_context_seen_perturbation,8
E81_r2_p25,2,0.25,K562,test,seen_context_new_perturbation,54
E81_r2_p25,2,0.25,K562,test,seen_context_seen_perturbation_pair_holdout,4
E81_r2_p25,2,0.25,K562,train,observed_submatrix_train,11
E81_r2_p50,2,0.5,K562,test,new_context_new_perturbation,18
E81_r2_p50,2,0.5,K562,test,new_context_seen_perturbation,16
E81_r2_p50,2,0.5,K562,test,seen_context_new_perturbation,38
E81_r2_p50,2,0.5,K562,test,seen_context_seen_perturbation_pair_holdout,6
E81_r2_p50,2,0.5,K562,train,observed_submatrix_train,25
E81_r2_p75,2,0.75,K562,test,new_context_new_perturbation,8
E81_r2_p75,2,0.75,K562,test,new_context_seen_perturbation,26
E81_r2_p75,2,0.75,K562,test,seen_context_new_perturbation,16
E81_r2_p75,2,0.75,K562,test,seen_context_seen_perturbation_pair_holdout,11
E81_r2_p75,2,0.75,K562,train,observed_submatrix_train,42
E81_r3_p25,3,0.25,MCF7,test,new_context_new_perturbation,25
E81_r3_p25,3,0.25,MCF7,test,new_context_seen_perturbation,8
E81_r3_p25,3,0.25,MCF7,test,seen_context_new_perturbation,54
E81_r3_p25,3,0.25,MCF7,test,seen_context_seen_perturbation_pair_holdout,4
E81_r3_p25,3,0.25,MCF7,train,observed_submatrix_train,12
E81_r3_p50,3,0.5,MCF7,test,new_context_new_perturbation,19
E81_r3_p50,3,0.5,MCF7,test,new_context_seen_perturbation,14
E81_r3_p50,3,0.5,MCF7,test,seen_context_new_perturbation,40
E81_r3_p50,3,0.5,MCF7,test,seen_context_seen_perturbation_pair_holdout,6
E81_r3_p50,3,0.5,MCF7,train,observed_submatrix_train,24
E81_r3_p75,3,0.75,MCF7,test,new_context_new_perturbation,8
E81_r3_p75,3,0.75,MCF7,test,new_context_seen_perturbation,25
E81_r3_p75,3,0.75,MCF7,test,seen_context_new_perturbation,16
E81_r3_p75,3,0.75,MCF7,test,seen_context_seen_perturbation_pair_holdout,11
E81_r3_p75,3,0.75,MCF7,train,observed_submatrix_train,43
