panel,score,reject_fraction,n_rejected,remaining_error_reduction,high_error_recall_rejected,normalized_aurc_50_100,random_expected_remaining_error_reduction,random_expected_high_error_recall,random_expected_normalized_aurc
Norman_P1,PRESCRIBE epistemic,0.1,3,-0.01770488864943731,0.0,1.0066528841119813,0.0,0.1,1.0
Norman_P1,PRESCRIBE epistemic,0.2,5,-0.04178339265672881,0.0,1.0066528841119813,0.0,0.2,1.0
Norman_P1,PRESCRIBE epistemic,0.3,8,0.004338774026795611,0.25,1.0066528841119813,0.0,0.3,1.0
Norman_P1,PRESCRIBE aleatoric,0.1,3,-0.01770488864943709,0.0,0.969946168443312,0.0,0.1,1.0
Norman_P1,PRESCRIBE aleatoric,0.2,5,0.04591558557181852,0.2,0.969946168443312,0.0,0.2,1.0
Norman_P1,PRESCRIBE aleatoric,0.3,8,0.043049487608395776,0.375,0.969946168443312,0.0,0.3,1.0
Norman_P1,PRESCRIBE combined,0.1,3,-0.01770488864943709,0.0,1.0017489495376695,0.0,0.1,1.0
Norman_P1,PRESCRIBE combined,0.2,5,-0.04178339265672859,0.0,1.0017489495376695,0.0,0.2,1.0
Norman_P1,PRESCRIBE combined,0.3,8,0.004338774026795611,0.25,1.0017489495376695,0.0,0.3,1.0
Norman_P1,PRESCRIBE magnitude,0.1,3,0.05657900574055674,0.3333333333333333,0.9887554101256948,0.0,0.1,1.0
Norman_P1,PRESCRIBE magnitude,0.2,5,0.04464518944042728,0.4,0.9887554101256948,0.0,0.2,1.0
Norman_P1,PRESCRIBE magnitude,0.3,8,0.0036490028498278315,0.25,0.9887554101256948,0.0,0.3,1.0
Norman_P2,PRESCRIBE epistemic,0.1,3,-0.004225858746613964,0.0,1.0212345804757479,0.0,0.1,1.0
Norman_P2,PRESCRIBE epistemic,0.2,5,0.03770255199003236,0.2,1.0212345804757479,0.0,0.2,1.0
Norman_P2,PRESCRIBE epistemic,0.3,8,-0.055594457062158265,0.375,1.0212345804757479,0.0,0.3,1.0
Norman_P2,PRESCRIBE aleatoric,0.1,3,-0.05687680665500916,0.0,1.1190699862008784,0.0,0.1,1.0
Norman_P2,PRESCRIBE aleatoric,0.2,5,-0.10434675486752165,0.0,1.1190699862008784,0.0,0.2,1.0
Norman_P2,PRESCRIBE aleatoric,0.3,8,-0.18872174059409552,0.0,1.1190699862008784,0.0,0.3,1.0
Norman_P2,PRESCRIBE combined,0.1,3,-0.004225858746613964,0.0,1.0246755624284245,0.0,0.1,1.0
Norman_P2,PRESCRIBE combined,0.2,5,0.03770255199003236,0.2,1.0246755624284245,0.0,0.2,1.0
Norman_P2,PRESCRIBE combined,0.3,8,-0.055594457062158265,0.375,1.0246755624284245,0.0,0.3,1.0
Norman_P2,PRESCRIBE magnitude,0.1,3,0.11968571276003181,0.6666666666666666,0.8966548730052676,0.0,0.1,1.0
Norman_P2,PRESCRIBE magnitude,0.2,5,0.1077177972820973,0.4,0.8966548730052676,0.0,0.2,1.0
Norman_P2,PRESCRIBE magnitude,0.3,8,0.10994532189892958,0.375,0.8966548730052676,0.0,0.3,1.0
