cell_type,condition,n_cells
Co-culture,A2M+ctrl,255
Co-culture,ACSL3+ctrl,114
Co-culture,ACTA2+ctrl,260
Co-culture,AEBP1+ctrl,252
Co-culture,AGA+ctrl,231
Co-culture,AHNAK+ctrl,199
Co-culture,APOD+ctrl,209
Co-culture,APOE+ctrl,219
Co-culture,ARMC6+ctrl,178
Co-culture,ATP1B1+ctrl,216
Co-culture,B2M+ctrl,280
Co-culture,BOLA2+ctrl,131
Co-culture,BOLA2B+ctrl,121
Co-culture,BZW2+ctrl,200
Co-culture,C19orf48+ctrl,236
Co-culture,C1QBP+ctrl,113
Co-culture,C6orf226+ctrl,201
Co-culture,CCND1+ctrl,126
Co-culture,CCND2+ctrl,203
Co-culture,CCR10+ctrl,195
Co-culture,CD151+ctrl,222
Co-culture,CD274+ctrl,228
Co-culture,CD44+ctrl,289
Co-culture,CD47+ctrl,201
Co-culture,CD58+ctrl,280
Co-culture,CD59+ctrl,251
Co-culture,CD63+ctrl,184
Co-culture,CDH19+ctrl,267
Co-culture,CDK4+ctrl,156
Co-culture,CDK6+ctrl,64
Co-culture,CDKN1A+ctrl,267
Co-culture,CDKN2A+ctrl,181
Co-culture,CDKN2B+ctrl,196
Co-culture,CHCHD2+ctrl,225
Co-culture,CITED1+ctrl,257
Co-culture,CKS1B+ctrl,193
Co-culture,CMSS1+ctrl,221
Co-culture,CORO1A+ctrl,184
Co-culture,CSPG4+ctrl,270
Co-culture,CST3+ctrl,166
Co-culture,CTPS1+ctrl,74
Co-culture,CTSA+ctrl,200
Co-culture,CTSB+ctrl,249
Co-culture,CTSD+ctrl,290
Co-culture,CTSL+ctrl,214
Co-culture,CTSO+ctrl,214
Co-culture,CXCR4+ctrl,206
Co-culture,CYP27A1+ctrl,221
Co-culture,DAG1+ctrl,188
Co-culture,DDR1+ctrl,203
Co-culture,DDX17+ctrl,157
Co-culture,DDX39A+ctrl,161
Co-culture,DLL3+ctrl,200
Co-culture,DNMT1+ctrl,72
Co-culture,E2F1+ctrl,132
Co-culture,EEA1+ctrl,193
Co-culture,EIF3K+ctrl,149
Co-culture,EMP1+ctrl,187
Co-culture,ENPP1+ctrl,201
Co-culture,EVA1A+ctrl,201
Co-culture,FBL+ctrl,66
Co-culture,FBXO32+ctrl,261
Co-culture,FGFR1+ctrl,277
Co-culture,FKBP4+ctrl,147
Co-culture,FMN1+ctrl,256
Co-culture,FOS+ctrl,173
Co-culture,FRZB+ctrl,164
Co-culture,FSTL3+ctrl,252
Co-culture,GAA+ctrl,243
Co-culture,GPATCH4+ctrl,162
Co-culture,GPNMB+ctrl,209
Co-culture,GRN+ctrl,202
Co-culture,GSN+ctrl,256
Co-culture,HLA-A+ctrl,269
Co-culture,HLA-B+ctrl,144
Co-culture,HLA-C+ctrl,158
Co-culture,HLA-DRB5+ctrl,274
Co-culture,HLA-E+ctrl,192
Co-culture,HLA-F+ctrl,230
Co-culture,HNRNPA1+ctrl,171
Co-culture,HSPA1A+ctrl,178
Co-culture,IDH2+ctrl,274
Co-culture,IFNGR1+ctrl,321
Co-culture,IFNGR2+ctrl,475
Co-culture,IRF3+ctrl,228
Co-culture,IRF4+ctrl,179
Co-culture,ISYNA1+ctrl,146
Co-culture,ITGA3+ctrl,209
Co-culture,JAK1+ctrl,390
Co-culture,JAK2+ctrl,418
Co-culture,JMJD7+ctrl,270
Co-culture,KCNN4+ctrl,216
Co-culture,KDR+ctrl,225
Co-culture,KLF4+ctrl,182
Co-culture,LAMP2+ctrl,240
Co-culture,LCP1+ctrl,243
Co-culture,LGALS3+ctrl,145
Co-culture,LGALS3BP+ctrl,190
Co-culture,LRPAP1+ctrl,236
Co-culture,LY96+ctrl,249
Co-culture,MC1R+ctrl,187
Co-culture,MDH2+ctrl,159
Co-culture,MFGE8+ctrl,290
Co-culture,MIA+ctrl,197
Co-culture,MRPL47+ctrl,95
Co-culture,MT2A+ctrl,152
Co-culture,NDUFA13+ctrl,85
Co-culture,NGFR+ctrl,165
Co-culture,NME1+ctrl,178
Co-culture,NMRK1+ctrl,215
Co-culture,NOLC1+ctrl,86
Co-culture,NONO+ctrl,174
Co-culture,NPC1+ctrl,240
Co-culture,NPC2+ctrl,228
Co-culture,NSG1+ctrl,195
Co-culture,NT5E+ctrl,252
Co-culture,P2RX4+ctrl,88
Co-culture,PAICS+ctrl,63
Co-culture,PET100+ctrl,73
Co-culture,PFDN4+ctrl,186
Co-culture,PFN1+ctrl,102
Co-culture,PIK3IP1+ctrl,187
Co-culture,PPIA+ctrl,176
Co-culture,PROS1+ctrl,179
Co-culture,PSAP+ctrl,269
Co-culture,PTMA+ctrl,232
Co-culture,PUF60+ctrl,65
Co-culture,PYGB+ctrl,166
