fold_id,setting,split,n_tasks,min_cells,median_cells,max_cells
frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,test,30,86,194.0,418
frangieh_context_holdout_1_Co-culture,context_unseen_row,test,159,58,203.0,475
frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,test,60,57,174.5,325
frangieh_context_holdout_1_Co-culture,random_missing_pair,test,30,105,220.0,341
frangieh_context_holdout_1_Co-culture,source_train_pair,train,258,50,163.0,309
frangieh_context_holdout_1_Co-culture,source_validation_pair,val,30,69,177.0,311
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,test,30,62,140.0,186
frangieh_context_holdout_2_Control,context_unseen_row,test,159,50,142.0,190
frangieh_context_holdout_2_Control,perturbation_unseen_column,test,60,83,225.0,396
frangieh_context_holdout_2_Control,random_missing_pair,test,30,65,233.0,289
frangieh_context_holdout_2_Control,source_train_pair,train,258,58,210.0,475
frangieh_context_holdout_2_Control,source_validation_pair,val,30,74,230.0,341
frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,test,30,125,229.5,289
frangieh_context_holdout_3_IFNγ,context_unseen_row,test,159,78,227.0,341
frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,test,60,73,171.5,418
frangieh_context_holdout_3_IFNγ,random_missing_pair,test,30,50,199.5,390
frangieh_context_holdout_3_IFNγ,source_train_pair,train,258,55,158.0,475
frangieh_context_holdout_3_IFNγ,source_validation_pair,val,30,61,166.5,396
