dataset,modality,context,perturbation,n_cells
Lara_exvivo,gene_knockout,EBMP,Ash1l,173
Lara_exvivo,gene_knockout,EBMP,Brd9,259
Lara_exvivo,gene_knockout,EBMP,Carm1,716
Lara_exvivo,gene_knockout,EBMP,Cbx3,362
Lara_exvivo,gene_knockout,EBMP,Cebpa,270
Lara_exvivo,gene_knockout,EBMP,Chd4,373
Lara_exvivo,gene_knockout,EBMP,Crebbp,304
Lara_exvivo,gene_knockout,EBMP,Ehmt1,244
Lara_exvivo,gene_knockout,EBMP,Ehmt2,573
Lara_exvivo,gene_knockout,EBMP,Ezh2,138
Lara_exvivo,gene_knockout,EBMP,Gltscr1,155
Lara_exvivo,gene_knockout,EBMP,Hdac1,342
Lara_exvivo,gene_knockout,EBMP,Hmgxb4,174
Lara_exvivo,gene_knockout,EBMP,Kdm6a,234
Lara_exvivo,gene_knockout,EBMP,Kmt2a,120
Lara_exvivo,gene_knockout,EBMP,Kmt2d,473
Lara_exvivo,gene_knockout,EBMP,Mbd2,244
Lara_exvivo,gene_knockout,EBMP,Mbd3,399
Lara_exvivo,gene_knockout,EBMP,Men1,257
Lara_exvivo,gene_knockout,EBMP,Phf10,205
Lara_exvivo,gene_knockout,EBMP,Prmt1,502
Lara_exvivo,gene_knockout,EBMP,Prmt5,344
Lara_exvivo,gene_knockout,EBMP,Rbbp4,398
Lara_exvivo,gene_knockout,EBMP,Rcor1,359
Lara_exvivo,gene_knockout,EBMP,Setdb1,267
Lara_exvivo,gene_knockout,EBMP,Setdb2,281
Lara_exvivo,gene_knockout,EBMP,Smarcd1,379
Lara_exvivo,gene_knockout,EBMP,Smarcd2,216
Lara_exvivo,gene_knockout,EBMP,Smc2,660
Lara_exvivo,gene_knockout,EBMP,Spi1,233
Lara_exvivo,gene_knockout,EBMP,Stag2,363
Lara_exvivo,gene_knockout,GMP,Ash1l,201
Lara_exvivo,gene_knockout,GMP,Brd9,381
Lara_exvivo,gene_knockout,GMP,Carm1,1435
Lara_exvivo,gene_knockout,GMP,Cbx3,280
Lara_exvivo,gene_knockout,GMP,Cebpa,68
Lara_exvivo,gene_knockout,GMP,Chd4,143
Lara_exvivo,gene_knockout,GMP,Crebbp,290
Lara_exvivo,gene_knockout,GMP,Ehmt1,311
Lara_exvivo,gene_knockout,GMP,Ehmt2,851
Lara_exvivo,gene_knockout,GMP,Ezh2,156
Lara_exvivo,gene_knockout,GMP,Gltscr1,370
Lara_exvivo,gene_knockout,GMP,Hdac1,592
Lara_exvivo,gene_knockout,GMP,Hmgxb4,170
Lara_exvivo,gene_knockout,GMP,Kdm6a,250
Lara_exvivo,gene_knockout,GMP,Kmt2a,258
Lara_exvivo,gene_knockout,GMP,Kmt2d,411
Lara_exvivo,gene_knockout,GMP,Mbd2,557
Lara_exvivo,gene_knockout,GMP,Mbd3,1010
Lara_exvivo,gene_knockout,GMP,Men1,484
Lara_exvivo,gene_knockout,GMP,Phf10,418
Lara_exvivo,gene_knockout,GMP,Prmt1,522
Lara_exvivo,gene_knockout,GMP,Prmt5,473
Lara_exvivo,gene_knockout,GMP,Rbbp4,540
Lara_exvivo,gene_knockout,GMP,Rcor1,410
Lara_exvivo,gene_knockout,GMP,Setdb1,482
Lara_exvivo,gene_knockout,GMP,Setdb2,402
Lara_exvivo,gene_knockout,GMP,Smarcd1,540
Lara_exvivo,gene_knockout,GMP,Smarcd2,177
Lara_exvivo,gene_knockout,GMP,Smc2,494
Lara_exvivo,gene_knockout,GMP,Spi1,102
Lara_exvivo,gene_knockout,GMP,Stag2,177
Lara_exvivo,gene_knockout,GMP (late),Ash1l,564
Lara_exvivo,gene_knockout,GMP (late),Brd9,436
Lara_exvivo,gene_knockout,GMP (late),Carm1,1898
Lara_exvivo,gene_knockout,GMP (late),Cbx3,130
Lara_exvivo,gene_knockout,GMP (late),Cebpa,141
Lara_exvivo,gene_knockout,GMP (late),Chd4,134
Lara_exvivo,gene_knockout,GMP (late),Crebbp,448
Lara_exvivo,gene_knockout,GMP (late),Ehmt1,512
Lara_exvivo,gene_knockout,GMP (late),Ehmt2,999
Lara_exvivo,gene_knockout,GMP (late),Ezh2,503
Lara_exvivo,gene_knockout,GMP (late),Gltscr1,454
Lara_exvivo,gene_knockout,GMP (late),Hdac1,291
Lara_exvivo,gene_knockout,GMP (late),Hmgxb4,465
Lara_exvivo,gene_knockout,GMP (late),Kdm6a,366
Lara_exvivo,gene_knockout,GMP (late),Kmt2a,405
Lara_exvivo,gene_knockout,GMP (late),Kmt2d,292
Lara_exvivo,gene_knockout,GMP (late),Mbd2,496
Lara_exvivo,gene_knockout,GMP (late),Mbd3,700
Lara_exvivo,gene_knockout,GMP (late),Men1,942
Lara_exvivo,gene_knockout,GMP (late),Phf10,622
Lara_exvivo,gene_knockout,GMP (late),Prmt1,553
Lara_exvivo,gene_knockout,GMP (late),Prmt5,411
Lara_exvivo,gene_knockout,GMP (late),Rbbp4,1069
Lara_exvivo,gene_knockout,GMP (late),Rcor1,147
Lara_exvivo,gene_knockout,GMP (late),Setdb1,310
Lara_exvivo,gene_knockout,GMP (late),Setdb2,513
Lara_exvivo,gene_knockout,GMP (late),Smarcd1,686
Lara_exvivo,gene_knockout,GMP (late),Smarcd2,184
Lara_exvivo,gene_knockout,GMP (late),Smc2,260
Lara_exvivo,gene_knockout,GMP (late),Spi1,73
Lara_exvivo,gene_knockout,GMP (late),Stag2,236
Lara_exvivo,gene_knockout,HSC,Ash1l,60
Lara_exvivo,gene_knockout,HSC,Brd9,255
Lara_exvivo,gene_knockout,HSC,Carm1,499
Lara_exvivo,gene_knockout,HSC,Cbx3,226
Lara_exvivo,gene_knockout,HSC,Cebpa,222
Lara_exvivo,gene_knockout,HSC,Chd4,103
Lara_exvivo,gene_knockout,HSC,Crebbp,130
Lara_exvivo,gene_knockout,HSC,Ehmt1,227
Lara_exvivo,gene_knockout,HSC,Ehmt2,441
Lara_exvivo,gene_knockout,HSC,Ezh2,66
Lara_exvivo,gene_knockout,HSC,Gltscr1,120
Lara_exvivo,gene_knockout,HSC,Hdac1,165
Lara_exvivo,gene_knockout,HSC,Hmgxb4,121
Lara_exvivo,gene_knockout,HSC,Kdm6a,97
Lara_exvivo,gene_knockout,HSC,Kmt2a,92
Lara_exvivo,gene_knockout,HSC,Kmt2d,319
Lara_exvivo,gene_knockout,HSC,Mbd2,118
Lara_exvivo,gene_knockout,HSC,Mbd3,263
Lara_exvivo,gene_knockout,HSC,Men1,175
Lara_exvivo,gene_knockout,HSC,Phf10,138
Lara_exvivo,gene_knockout,HSC,Prmt1,563
Lara_exvivo,gene_knockout,HSC,Prmt5,207
Lara_exvivo,gene_knockout,HSC,Rbbp4,338
Lara_exvivo,gene_knockout,HSC,Rcor1,227
Lara_exvivo,gene_knockout,HSC,Setdb1,126
Lara_exvivo,gene_knockout,HSC,Setdb2,213
Lara_exvivo,gene_knockout,HSC,Smarcd1,313
Lara_exvivo,gene_knockout,HSC,Smarcd2,169
Lara_exvivo,gene_knockout,HSC,Smc2,371
Lara_exvivo,gene_knockout,HSC,Spi1,126
Lara_exvivo,gene_knockout,HSC,Stag2,360
Lara_exvivo,gene_knockout,MkP,Ash1l,145
Lara_exvivo,gene_knockout,MkP,Brd9,224
Lara_exvivo,gene_knockout,MkP,Carm1,297
Lara_exvivo,gene_knockout,MkP,Cbx3,151
Lara_exvivo,gene_knockout,MkP,Cebpa,468
Lara_exvivo,gene_knockout,MkP,Chd4,134
Lara_exvivo,gene_knockout,MkP,Crebbp,177
Lara_exvivo,gene_knockout,MkP,Ehmt1,87
Lara_exvivo,gene_knockout,MkP,Ehmt2,225
Lara_exvivo,gene_knockout,MkP,Ezh2,95
Lara_exvivo,gene_knockout,MkP,Gltscr1,95
Lara_exvivo,gene_knockout,MkP,Hdac1,74
Lara_exvivo,gene_knockout,MkP,Hmgxb4,166
Lara_exvivo,gene_knockout,MkP,Kdm6a,115
Lara_exvivo,gene_knockout,MkP,Kmt2a,58
Lara_exvivo,gene_knockout,MkP,Kmt2d,325
Lara_exvivo,gene_knockout,MkP,Mbd2,105
Lara_exvivo,gene_knockout,MkP,Mbd3,138
Lara_exvivo,gene_knockout,MkP,Men1,181
Lara_exvivo,gene_knockout,MkP,Phf10,125
Lara_exvivo,gene_knockout,MkP,Prmt1,211
Lara_exvivo,gene_knockout,MkP,Prmt5,106
Lara_exvivo,gene_knockout,MkP,Rbbp4,170
Lara_exvivo,gene_knockout,MkP,Rcor1,160
Lara_exvivo,gene_knockout,MkP,Setdb1,92
Lara_exvivo,gene_knockout,MkP,Setdb2,76
Lara_exvivo,gene_knockout,MkP,Smarcd1,445
Lara_exvivo,gene_knockout,MkP,Smarcd2,218
Lara_exvivo,gene_knockout,MkP,Smc2,245
Lara_exvivo,gene_knockout,MkP,Spi1,543
Lara_exvivo,gene_knockout,MkP,Stag2,312
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Arvcf,427
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Ccdc74a,556
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Comt,886
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Crkl,504
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Dgcr14,202
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Dgcr2,571
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Dgcr6,214
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Dgcr8,526
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Hic2,572
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Lztr1,504
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Med15,726
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Mrpl40,207
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Pi4ka,531
Santinha,gene_knockout,Interneurons_Sst_Pvalb,Ranbp1,404
