dataset,fold_id,train_fraction,n_train_pairs,n_train_contexts,n_train_perturbations
Cui,Cui_context_holdout_1_Macrophage,0.25,71,5,48
Cui,Cui_context_holdout_1_Macrophage,0.5,141,5,64
Cui,Cui_context_holdout_1_Macrophage,0.75,209,5,68
Cui,Cui_context_holdout_1_Macrophage,1.0,280,5,68
Cui,Cui_context_holdout_2_MigDC,0.25,71,5,47
Cui,Cui_context_holdout_2_MigDC,0.5,140,5,64
Cui,Cui_context_holdout_2_MigDC,0.75,209,5,68
Cui,Cui_context_holdout_2_MigDC,1.0,280,5,68
Cui,Cui_context_holdout_3_T_cell_CD4,0.25,71,5,49
Cui,Cui_context_holdout_3_T_cell_CD4,0.5,140,5,63
Cui,Cui_context_holdout_3_T_cell_CD4,0.75,209,5,66
Cui,Cui_context_holdout_3_T_cell_CD4,1.0,280,5,68
Cui,Cui_context_holdout_4_T_cell_CD8,0.25,69,5,48
Cui,Cui_context_holdout_4_T_cell_CD8,0.5,139,5,62
Cui,Cui_context_holdout_4_T_cell_CD8,0.75,211,5,66
Cui,Cui_context_holdout_4_T_cell_CD8,1.0,280,5,68
Cui,Cui_context_holdout_5_T_cell_gd,0.25,70,5,44
Cui,Cui_context_holdout_5_T_cell_gd,0.5,140,5,64
Cui,Cui_context_holdout_5_T_cell_gd,0.75,210,5,66
Cui,Cui_context_holdout_5_T_cell_gd,1.0,280,5,68
Cui,Cui_context_holdout_6_Treg,0.25,70,5,47
Cui,Cui_context_holdout_6_Treg,0.5,139,5,63
Cui,Cui_context_holdout_6_Treg,0.75,210,5,68
Cui,Cui_context_holdout_6_Treg,1.0,280,5,68
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,0.25,20,4,13
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,0.5,39,4,22
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,0.75,56,4,24
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,1.0,76,4,24
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,0.25,19,4,14
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,0.5,38,4,19
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,0.75,57,4,23
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,1.0,76,4,24
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),0.25,19,4,13
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),0.5,39,4,20
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),0.75,57,4,23
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),1.0,76,4,24
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,0.25,19,4,15
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,0.5,38,4,23
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,0.75,57,4,24
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,1.0,76,4,24
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,0.25,18,4,13
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,0.5,37,4,22
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,0.75,58,4,23
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,1.0,76,4,24
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,0.25,15,4,11
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,0.5,30,4,17
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,0.75,41,4,18
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,1.0,56,4,18
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,0.25,14,4,9
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,0.5,28,4,15
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,0.75,42,4,18
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,1.0,56,4,18
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,0.25,15,4,12
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,0.5,29,4,17
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,0.75,41,4,17
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,1.0,56,4,18
Santinha,Santinha_context_holdout_4_Neurons_L_5,0.25,14,4,13
Santinha,Santinha_context_holdout_4_Neurons_L_5,0.5,27,4,16
Santinha,Santinha_context_holdout_4_Neurons_L_5,0.75,42,4,18
Santinha,Santinha_context_holdout_4_Neurons_L_5,1.0,56,4,18
Santinha,Santinha_context_holdout_5_Neurons_L_6,0.25,14,4,8
Santinha,Santinha_context_holdout_5_Neurons_L_6,0.5,27,4,14
Santinha,Santinha_context_holdout_5_Neurons_L_6,0.75,42,4,18
Santinha,Santinha_context_holdout_5_Neurons_L_6,1.0,56,4,18
