method_name,n_perturbations,raw_spearman_rho,p_raw,bh_q,rank_by_raw_rho,median_spearman,median_spearman_ci_low,median_spearman_ci_high,shuffled_null_ci_low,shuffled_null_ci_high,sample_size_baseline_median_spearman,source_file,source_commit,partial_spearman_control_log_nstimulated,posthoc_partial_median,posthoc_partial_ci_low,posthoc_partial_ci_high,risk_vs_sample_size_risk_spearman,analysis_note
baseReg,74,0.6225260439013021,3.188621998340453e-09,4.2111168512244935e-08,1,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.4064074526151023,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
GeneCompass,74,0.6132443254770011,6.306696793882529e-09,4.2111168512244935e-08,2,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3832476829621596,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
GenePert,74,0.606888862894049,9.934493312668306e-09,4.2111168512244935e-08,3,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3685119840460532,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
trainMean,74,0.6026045980669622,1.3419816189143812e-08,4.2111168512244935e-08,4,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3604466428353059,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
scELMo,74,0.6019584767731889,1.4037056170748313e-08,4.2111168512244935e-08,5,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.358768425802567,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
scouter,74,0.5928291147345877,2.6220859698932183e-08,6.555214924733046e-08,6,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3685846802423596,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
baseControl,74,0.5890855428751607,3.3690544885513946e-08,7.219402475467272e-08,7,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3348975625109605,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
scGPT,74,0.5836435309801913,4.8230459493479145e-08,9.043211155027338e-08,8,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3456876784936437,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
GEARS,74,0.5758735345003645,7.959920929514843e-08,1.3266534882524736e-07,9,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.3097054309447313,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
linearModel,74,0.5646635754529229,1.6035051777170805e-07,2.405257766575621e-07,10,0.5836435309801913,0.3934616631523212,0.7261213847941498,-0.23227468945667581,0.2305051645948716,0.7637071473739743,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_PER_METHOD.csv;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SUMMARY.json;docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_POSTHOC_SAMPLE_SIZE_SUMMARY.json,e8a3594,0.2932985498819137,0.3348975625109605,0.0468979408718303,0.53779170814567,0.5237629783631211,sample_size_adjustment_is_post_hoc_not_preregistered_gate
