feature_a,feature_b,spearman_rho,abs_rho
perturbation_effect_variance,historical_residual_risk,0.9700487546878158,0.9700487546878158
prediction_l2_norm,historical_residual_risk,0.9341858261662404,0.9341858261662404
prediction_l2_norm,prediction_abs_mean,0.9239370155417107,0.9239370155417107
fold_train_median_effect_norm,historical_residual_risk,0.9192656598289805,0.9192656598289805
model_disagreement_rmse,historical_residual_risk,0.9187380171295291,0.9187380171295291
prediction_l2_norm,fold_train_median_effect_norm,0.9023617850153043,0.9023617850153043
prediction_l2_norm,model_disagreement_rmse,0.9006497160976875,0.9006497160976875
perturbation_effect_variance,prediction_l2_norm,0.8980217405696704,0.8980217405696704
perturbation_effect_variance,model_disagreement_rmse,0.8905526502736797,0.8905526502736797
perturbation_effect_variance,fold_train_median_effect_norm,0.87734976087151,0.87734976087151
perturbation_effect_variance,prediction_abs_mean,0.867520245841019,0.867520245841019
fold_train_median_effect_norm,model_disagreement_rmse,0.8661667945327204,0.8661667945327204
prediction_abs_mean,historical_residual_risk,0.8645926363294953,0.8645926363294953
prediction_abs_mean,fold_train_median_effect_norm,0.8276563346880194,0.8276563346880194
prediction_abs_mean,model_disagreement_rmse,0.8224729723091317,0.8224729723091317
prediction_l2_norm,ood_mean_k_distance,-0.7528982898732542,0.7528982898732542
prediction_abs_mean,ood_mean_k_distance,-0.7310692987765167,0.7310692987765167
perturbation_support_count,ood_mean_k_distance,-0.7232414344479773,0.7232414344479773
fold_train_median_effect_norm,ood_mean_k_distance,-0.6902983051291535,0.6902983051291535
perturbation_support_count,fold_train_median_effect_norm,0.6778626018401861,0.6778626018401861
perturbation_support_count,prediction_l2_norm,0.6559008194472264,0.6559008194472264
perturbation_support_count,historical_residual_risk,0.655402564707703,0.655402564707703
ood_mean_k_distance,historical_residual_risk,-0.6484967195536172,0.6484967195536172
model_disagreement_rmse,ood_mean_k_distance,-0.6076501407988019,0.6076501407988019
context_similarity_max,context_similarity_mean,0.6021432241053237,0.6021432241053237
perturbation_effect_stability,prediction_norm_ratio,0.5834361389331175,0.5834361389331175
ood_nearest_distance,ood_mean_k_distance,0.5740029879850622,0.5740029879850622
prediction_norm_ratio,prediction_magnitude_deviation,-0.5542762649620133,0.5542762649620133
perturbation_support_count,model_disagreement_rmse,0.5432282823417246,0.5432282823417246
perturbation_support_count,perturbation_effect_variance,0.5331788264574617,0.5331788264574617
perturbation_effect_stability,ood_mean_k_distance,-0.5267488973141533,0.5267488973141533
context_similarity_max,ood_nearest_distance,-0.5126487041137127,0.5126487041137127
perturbation_support_count,prediction_abs_mean,0.5062843245108006,0.5062843245108006
perturbation_effect_variance,ood_mean_k_distance,-0.48044895562430023,0.48044895562430023
context_similarity_mean,ood_nearest_distance,-0.47823350951445387,0.47823350951445387
perturbation_effect_stability,prediction_l2_norm,0.4717557913531008,0.4717557913531008
perturbation_effect_stability,ood_nearest_distance,-0.4645349860571754,0.4645349860571754
prediction_abs_mean,ood_nearest_distance,-0.45698534581133604,0.45698534581133604
perturbation_effect_stability,prediction_magnitude_deviation,-0.4137865671340771,0.4137865671340771
prediction_l2_norm,ood_nearest_distance,-0.4092735047731689,0.4092735047731689
fold_train_median_effect_norm,ood_nearest_distance,-0.405147458901051,0.405147458901051
perturbation_effect_variance,ood_nearest_distance,-0.40018777735128275,0.40018777735128275
perturbation_effect_stability,prediction_abs_mean,0.3907889667487751,0.3907889667487751
model_disagreement_cosine,ood_mean_k_distance,0.34006627524185784,0.34006627524185784
prediction_abs_mean,prediction_norm_ratio,0.32954417320507146,0.32954417320507146
perturbation_effect_stability,model_disagreement_cosine,-0.3248139022983731,0.3248139022983731
ood_nearest_distance,historical_residual_risk,-0.31692158528539127,0.31692158528539127
perturbation_effect_stability,model_disagreement_rmse,0.30287464542871734,0.30287464542871734
model_disagreement_rmse,ood_nearest_distance,-0.28552012857539394,0.28552012857539394
context_similarity_max,ood_mean_k_distance,-0.27612658416727903,0.27612658416727903
prediction_l2_norm,prediction_norm_ratio,0.2734857439421487,0.2734857439421487
perturbation_support_count,prediction_norm_ratio,-0.2634983175408496,0.2634983175408496
perturbation_support_count,ood_nearest_distance,-0.2571068960680232,0.2571068960680232
context_similarity_max,fold_train_median_effect_norm,0.23993953657585662,0.23993953657585662
context_similarity_mean,model_disagreement_rmse,-0.2344114953521112,0.2344114953521112
model_disagreement_cosine,ood_nearest_distance,0.2334908376775972,0.2334908376775972
perturbation_effect_stability,perturbation_effect_variance,0.22200422883655813,0.22200422883655813
perturbation_support_count,model_disagreement_cosine,-0.21590632421519995,0.21590632421519995
perturbation_effect_stability,fold_train_median_effect_norm,0.21415696558387837,0.21415696558387837
perturbation_effect_stability,historical_residual_risk,0.21253460237748964,0.21253460237748964
perturbation_support_count,prediction_magnitude_deviation,0.20795198522091715,0.20795198522091715
prediction_abs_mean,model_disagreement_cosine,-0.20581385883480352,0.20581385883480352
context_similarity_max,historical_residual_risk,0.20324608987073242,0.20324608987073242
context_similarity_max,prediction_l2_norm,0.20139103551396373,0.20139103551396373
context_similarity_mean,perturbation_effect_variance,-0.20065212910275124,0.20065212910275124
