perturbation,n_contexts,n_task_cells,median_cells_per_pair,n_multi_dose_pairs,n_multi_time_pairs,test_score_rows
Trametinib,171,41300,92.0,0,24,338
Dabrafenib,98,12814,114.0,0,0,194
BRD3379,98,21206,194.0,0,98,196
Navitoclax,98,9623,85.0,0,0,194
Afatinib,95,3807,39.0,0,0,188
Taselisib,95,3098,31.0,0,0,186
Prexasertib,95,3972,36.0,0,0,186
Gemcitabine,95,2093,21.0,0,0,184
AZD5591,94,7098,72.5,0,0,188
JQ1,94,5591,58.0,0,0,188
Everolimus,94,3825,38.5,0,0,188
Bortezomib,24,5150,200.0,0,24,48
Idasanutlin,24,5990,236.5,0,24,48
