cell_line,n_cells
CVCL_0546,6364321
CVCL_0459,5943411
CVCL_0480,4170586
CVCL_1285,3420378
CVCL_0399,3274272
CVCL_1056,2785040
CVCL_0293,2766680
CVCL_0334,2742987
CVCL_0023,2664482
CVCL_1119,2495566
CVCL_0428,2491219
CVCL_0152,2474241
CVCL_1693,2444712
CVCL_0359,2396294
CVCL_1550,2360694
CVCL_0504,2358711
CVCL_0131,2352722
CVCL_0371,2332035
CVCL_1381,2278841
CVCL_1478,2254353
CVCL_0320,2252219
CVCL_1097,2098357
CVCL_1717,2039153
CVCL_1517,1987892
CVCL_0397,1946902
CVCL_1495,1889509
CVCL_1547,1835947
CVCL_C466,1791578
CVCL_1731,1791184
CVCL_0332,1771742
CVCL_1635,1755313
CVCL_1666,1713177
CVCL_0292,1682550
CVCL_0069,1613877
CVCL_1094,1599310
CVCL_0366,1546064
CVCL_0218,1531054
CVCL_1055,1472434
CVCL_1098,1355321
CVCL_0099,1343339
CVCL_0179,1322285
CVCL_1239,1075515
CVCL_1724,1032791
CVCL_0028,634931
CVCL_1125,586551
CVCL_1716,229595
CVCL_1715,163938
CVCL_1577,144860
CVCL_1531,39463
CVCL_1571,30394
