perturbation,in_main,in_gears
A2M,True,True
ACSL3,True,False
ACTA2,True,False
AEBP1,True,False
AGA,True,False
AHNAK,True,False
APOD,True,False
APOE,True,True
ARMC6,True,False
ATP1B1,True,False
B2M,True,False
BOLA2,True,False
BOLA2B,True,False
BZW2,True,False
C19orf48,True,False
C1QBP,True,True
C6orf226,True,False
CCND1,True,False
CCND2,True,False
CCR10,True,False
CCT3,True,True
CD151,True,True
CD274,True,True
CD44,True,False
CD47,True,False
CD58,True,True
CD59,True,True
CD63,True,False
CDC123,True,False
CDH19,True,False
CDK4,True,False
CDK6,True,True
CDKN1A,True,False
CDKN2A,True,False
CDKN2B,True,False
CHCHD2,True,False
CITED1,True,False
CKS1B,True,True
CMSS1,True,False
CORO1A,True,False
CSPG4,True,False
CST3,True,False
CTPS1,True,False
CTSA,True,True
CTSB,True,False
CTSD,True,False
CTSL,True,False
CTSO,True,True
CXCR4,True,False
CYP27A1,True,False
DAG1,True,False
DDR1,True,False
DDX17,True,False
DDX39A,True,False
DLL3,True,False
DNMT1,True,False
E2F1,True,False
EEA1,True,False
EEF1G,True,False
EIF3K,True,False
EIF4A1,True,False
EMP1,True,False
ENPP1,True,False
EVA1A,True,True
FBL,True,False
FBXO32,True,False
FGFR1,True,False
FKBP4,True,False
FMN1,True,False
FOS,True,False
FOXM1,True,False
FRZB,True,True
FSTL3,True,True
FTH1,True,False
GAA,True,False
GPATCH4,True,True
GPI,True,False
GPNMB,True,False
GRN,True,False
GSN,True,True
HLA-A,True,False
HLA-B,True,False
HLA-C,True,False
HLA-DRB5,True,False
HLA-E,True,False
HLA-F,True,False
HNRNPA1,True,False
HNRNPC,True,False
HSPA1A,True,False
IDH2,True,False
IFNGR1,True,False
IFNGR2,True,False
ILF2,True,False
IRF3,True,True
IRF4,True,False
ISYNA1,True,True
ITGA3,True,False
JAK1,True,False
JAK2,True,False
JMJD7,True,False
KCNN4,True,False
KDR,True,True
KLF4,True,False
LAMP2,True,False
LCP1,True,True
LGALS3,True,False
LGALS3BP,True,True
LRPAP1,True,True
LY96,True,False
MC1R,True,False
MDH2,True,False
MFGE8,True,False
MIA,True,False
MRPL47,True,False
MT2A,True,False
MYC,True,False
NACA,True,True
NCL,True,False
NDUFA13,True,False
NGFR,True,True
NME1,True,False
NMRK1,True,False
NOLC1,True,False
NONO,True,False
NPC1,True,True
NPC2,True,False
NSG1,True,False
NT5E,True,False
P2RX4,True,False
PABPC1,True,True
PAICS,True,False
PET100,True,True
PFDN4,True,False
PFN1,True,True
PIK3IP1,True,True
POLD2,True,False
PPA1,True,False
PPIA,True,True
PROS1,True,True
PSAP,True,True
PTMA,True,True
PUF60,True,False
PYGB,True,True
RAB27A,True,False
RB1,True,True
RBP7,True,False
RNASEH2A,True,True
RNF213,True,True
ROMO1,True,True
RPSA,True,True
RRS1,True,False
RTP4,True,False
RUVBL2,True,True
S100A6,True,False
S100B,True,False
SAE1,True,False
SAT1,True,True
SCARB2,True,True
SDC3,True,False
SDCBP,True,False
SEC11C,True,False
SERPINA3,True,False
SERPINE2,True,True
SERPINF1,True,False
SET,True,False
SGK1,True,False
SHMT2,True,True
SLC19A1,True,True
SLC22A18,True,True
SLC25A13,True,True
SLC26A2,True,False
SLC5A3,True,False
SLIRP,True,True
SMAD3,True,False
SMAD4,True,False
SNRPG,True,False
SOX4,True,False
SP100,True,True
SPESP1,True,True
SPINT1,True,False
SSR2,True,False
ST6GALNAC2,True,False
STAT1,True,False
STAT3,True,False
STOM,True,True
STX7,True,False
TAPBP,True,False
TAPBPL,True,False
TFAP2A,True,False
TGFB1,True,False
TIMM50,True,False
TIMP1,True,False
TIMP2,True,True
TIMP3,True,False
TM4SF1,True,False
TMED10,True,False
TOP1MT,True,False
TP53,True,False
TPP1,True,False
TPRKB,True,False
TRIM22,True,True
TSC22D3,True,False
TTLL1,True,True
TXNDC17,True,True
UBC,True,True
UCN2,True,False
UQCRFS1,True,False
UQCRH,True,False
VAT1,True,False
VDAC2,True,False
WBP2,True,True
