perturbation,exact_gene_symbol_in_var
41BBL,False
APRIL,False
Adiponectin,False
BAFF,False
C3a,False
C5a,False
CD27L,False
CD30L,False
CD40L,False
Cardiotrophin-1,False
Decorin,False
EGF,False
FGF-basic,False
FasL,False
Flt3l,True
G-CSF,False
GDNF,False
GITRL,False
GM-CSF,False
HGF,False
IFNa1,False
IFNb,False
IFNe,False
IFNg,False
IFNk,False
IFNl2,False
IGF-I,False
IL-Y,False
IL10,False
IL11,False
IL12,False
IL13,False
IL15,False
IL17A,False
IL17B,False
IL17C,False
IL17D,False
IL17E,False
IL17F,False
IL18,False
IL19,False
IL1a,False
IL1b,False
IL1ra,False
IL2,False
IL20,False
IL21,False
IL22,False
IL23,False
IL24,False
IL27,False
IL3,False
IL30,False
IL31,False
IL33,False
IL34,False
IL36RA,False
IL36a,False
IL4,False
IL5,False
IL6,False
IL7,False
IL9,False
LIF,False
LIGHT,False
LTA1-B2,False
LTA2-B1,False
Leptin,False
M-CSF,False
Neuropoietin,False
Noggin,False
OSM,False
OX40L,False
Persephin,False
Prolactin,False
RANKL,False
Resistin,False
SCF,False
TGF-beta-1,False
TL1A,False
TNFa,False
TPO,False
TRAIL,False
TSLP,False
TWEAK,False
VEGF,False
