dataset_name,predictor_name,validation_mode,feature_set,score_name,n,n_task_clusters,aligned_rho,partial_rho_control_magnitude,excess_aurc,aurc_reduction_vs_random_pct,top5_enrichment,top10_enrichment,top20_enrichment
CuiHacohen2023,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,1253,1253,0.40502851182864574,0.30258233991914846,0.060094255139747726,21.679713272564854,4.1040564373897706,3.3148148148148144,2.446294503261853
CuiHacohen2023,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1253,1253,0.3923283768389976,0.29012889632823335,0.06318434122655847,20.450623468316877,3.4726631393298057,3.078042328042328,2.3866287836701003
CuiHacohen2023,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1253,1253,0.18104430964428772,0.055491986677734945,0.07902244044686219,14.150978175769596,2.209876543209876,1.6574074074074072,1.471754416596562
CuiHacohen2023,Control1NNPredictor,lopo,full,lopo_full,1253,1253,0.638877613540424,0.4894854003007672,0.0325332427675257,32.64217786086135,7.261022927689593,4.65652557319224,2.8639545404041207
CuiHacohen2023,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,1253,1253,0.6583503731469968,0.508690168447584,0.03139859173549425,33.09348826959131,7.261022927689593,4.65652557319224,2.784400247615117
CuiHacohen2023,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1253,1253,0.5359104989475757,0.33022557716023004,0.04000065979005518,29.67199325479704,4.735449735449735,3.6305114638447966,2.3269630640783476
CuiHacohen2023,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,1253,1253,0.45167666620405444,0.3698200742302645,0.0577762170213347,20.79585321593255,2.841269841269841,2.209876543209876,1.9093030269360802
CuiHacohen2023,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1253,1253,0.3986328702803237,0.31783422010979484,0.06693991263241933,16.792871146749818,2.5255731922398588,2.446649029982363,1.8098601609498262
CuiHacohen2023,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1253,1253,0.422057233919723,0.36208392875037526,0.06118403599518285,19.307213825637458,1.5784832451499116,2.130952380952381,1.9291916001333311
CuiHacohen2023,PertMeanPredictor,lopo,full,lopo_full,1253,1253,0.7325867846978382,0.5724626601694757,0.023882950760269583,35.601466897051004,4.735449735449735,3.788359788359788,2.804288820812368
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,1253,1253,0.7307619905050935,0.5616140269450454,0.02478711498802516,35.206500352448195,3.4726631393298057,3.6305114638447966,2.7048459548261135
