dataset_name,fold_id,predictor_name,n_train,n_val,n_test,n_reference_train_val,reference_splits,test_used_as_reference,status
CuiHacohen2023,0,ContextSimBaseline,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,0,PertMeanPredictor,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,0,V0StrongBaseline,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,1,ContextSimBaseline,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,1,PertMeanPredictor,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,1,V0StrongBaseline,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,2,ContextSimBaseline,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,2,PertMeanPredictor,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,2,V0StrongBaseline,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,3,ContextSimBaseline,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,3,PertMeanPredictor,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,3,V0StrongBaseline,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,4,ContextSimBaseline,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,4,PertMeanPredictor,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,4,V0StrongBaseline,852,150,251,1002,"train,val",False,ok
Frangieh,0,ContextSimBaseline,431,76,126,507,"train,val",False,ok
Frangieh,0,PertMeanPredictor,431,76,126,507,"train,val",False,ok
Frangieh,0,V0StrongBaseline,431,76,126,507,"train,val",False,ok
Frangieh,1,ContextSimBaseline,430,76,127,506,"train,val",False,ok
Frangieh,1,PertMeanPredictor,430,76,127,506,"train,val",False,ok
Frangieh,1,V0StrongBaseline,430,76,127,506,"train,val",False,ok
Frangieh,2,ContextSimBaseline,430,76,127,506,"train,val",False,ok
Frangieh,2,PertMeanPredictor,430,76,127,506,"train,val",False,ok
Frangieh,2,V0StrongBaseline,430,76,127,506,"train,val",False,ok
Frangieh,3,ContextSimBaseline,430,76,127,506,"train,val",False,ok
Frangieh,3,PertMeanPredictor,430,76,127,506,"train,val",False,ok
Frangieh,3,V0StrongBaseline,430,76,127,506,"train,val",False,ok
Frangieh,4,ContextSimBaseline,431,76,126,507,"train,val",False,ok
Frangieh,4,PertMeanPredictor,431,76,126,507,"train,val",False,ok
Frangieh,4,V0StrongBaseline,431,76,126,507,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,0,ContextSimBaseline,221,38,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,0,PertMeanPredictor,221,38,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,0,V0StrongBaseline,221,38,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,1,ContextSimBaseline,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,1,PertMeanPredictor,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,1,V0StrongBaseline,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,2,ContextSimBaseline,218,39,66,257,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,2,PertMeanPredictor,218,39,66,257,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,2,V0StrongBaseline,218,39,66,257,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,3,ContextSimBaseline,218,40,65,258,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,3,PertMeanPredictor,218,40,65,258,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,3,V0StrongBaseline,218,40,65,258,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,4,ContextSimBaseline,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,4,PertMeanPredictor,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,4,V0StrongBaseline,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,0,ContextSimBaseline,255,46,75,301,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,0,PertMeanPredictor,255,46,75,301,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,0,V0StrongBaseline,255,46,75,301,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,1,ContextSimBaseline,256,47,73,303,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,1,PertMeanPredictor,256,47,73,303,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,1,V0StrongBaseline,256,47,73,303,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,2,ContextSimBaseline,254,45,77,299,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,2,PertMeanPredictor,254,45,77,299,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,2,V0StrongBaseline,254,45,77,299,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,3,ContextSimBaseline,254,46,76,300,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,3,PertMeanPredictor,254,46,76,300,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,3,V0StrongBaseline,254,46,76,300,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,4,ContextSimBaseline,256,46,74,302,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,4,PertMeanPredictor,256,46,74,302,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,4,V0StrongBaseline,256,46,74,302,"train,val",False,ok
McFarlandTsherniak2020,0,ContextSimBaseline,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,0,PertMeanPredictor,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,0,V0StrongBaseline,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,1,ContextSimBaseline,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,1,PertMeanPredictor,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,1,V0StrongBaseline,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,2,ContextSimBaseline,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,2,PertMeanPredictor,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,2,V0StrongBaseline,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,3,ContextSimBaseline,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,3,PertMeanPredictor,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,3,V0StrongBaseline,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,4,ContextSimBaseline,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,4,PertMeanPredictor,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,4,V0StrongBaseline,790,140,233,930,"train,val",False,ok
SantinhaPlatt2023,0,ContextSimBaseline,184,34,55,218,"train,val",False,ok
SantinhaPlatt2023,0,PertMeanPredictor,184,34,55,218,"train,val",False,ok
SantinhaPlatt2023,0,V0StrongBaseline,184,34,55,218,"train,val",False,ok
SantinhaPlatt2023,1,ContextSimBaseline,187,33,53,220,"train,val",False,ok
SantinhaPlatt2023,1,PertMeanPredictor,187,33,53,220,"train,val",False,ok
SantinhaPlatt2023,1,V0StrongBaseline,187,33,53,220,"train,val",False,ok
SantinhaPlatt2023,2,ContextSimBaseline,185,33,55,218,"train,val",False,ok
SantinhaPlatt2023,2,PertMeanPredictor,185,33,55,218,"train,val",False,ok
SantinhaPlatt2023,2,V0StrongBaseline,185,33,55,218,"train,val",False,ok
SantinhaPlatt2023,3,ContextSimBaseline,184,33,56,217,"train,val",False,ok
SantinhaPlatt2023,3,PertMeanPredictor,184,33,56,217,"train,val",False,ok
SantinhaPlatt2023,3,V0StrongBaseline,184,33,56,217,"train,val",False,ok
SantinhaPlatt2023,4,ContextSimBaseline,185,34,54,219,"train,val",False,ok
SantinhaPlatt2023,4,PertMeanPredictor,185,34,54,219,"train,val",False,ok
SantinhaPlatt2023,4,V0StrongBaseline,185,34,54,219,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,0,ContextSimBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,0,PertMeanPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,0,V0StrongBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,1,ContextSimBaseline,384,68,112,452,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,1,PertMeanPredictor,384,68,112,452,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,1,V0StrongBaseline,384,68,112,452,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,2,ContextSimBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,2,PertMeanPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,2,V0StrongBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,3,ContextSimBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,3,PertMeanPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,3,V0StrongBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,4,ContextSimBaseline,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,4,PertMeanPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,4,V0StrongBaseline,383,68,113,451,"train,val",False,ok
CuiHacohen2023,0,Control1NNPredictor,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,1,Control1NNPredictor,852,150,251,1002,"train,val",False,ok
CuiHacohen2023,2,Control1NNPredictor,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,3,Control1NNPredictor,853,150,250,1003,"train,val",False,ok
CuiHacohen2023,4,Control1NNPredictor,852,150,251,1002,"train,val",False,ok
Frangieh,0,Control1NNPredictor,431,76,126,507,"train,val",False,ok
Frangieh,1,Control1NNPredictor,430,76,127,506,"train,val",False,ok
Frangieh,2,Control1NNPredictor,430,76,127,506,"train,val",False,ok
Frangieh,3,Control1NNPredictor,430,76,127,506,"train,val",False,ok
Frangieh,4,Control1NNPredictor,431,76,126,507,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,0,Control1NNPredictor,221,38,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,1,Control1NNPredictor,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,2,Control1NNPredictor,218,39,66,257,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,3,Control1NNPredictor,218,40,65,258,"train,val",False,ok
LaraAstiasoHuntly2023_exvivo,4,Control1NNPredictor,220,39,64,259,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,0,Control1NNPredictor,255,46,75,301,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,1,Control1NNPredictor,256,47,73,303,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,2,Control1NNPredictor,254,45,77,299,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,3,Control1NNPredictor,254,46,76,300,"train,val",False,ok
LaraAstiasoHuntly2023_invivo,4,Control1NNPredictor,256,46,74,302,"train,val",False,ok
McFarlandTsherniak2020,0,Control1NNPredictor,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,1,Control1NNPredictor,790,140,233,930,"train,val",False,ok
McFarlandTsherniak2020,2,Control1NNPredictor,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,3,Control1NNPredictor,791,140,232,931,"train,val",False,ok
McFarlandTsherniak2020,4,Control1NNPredictor,790,140,233,930,"train,val",False,ok
