dataset_name,predictor_name,validation_mode,feature_set,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
CuiHacohen2023,Control1NNPredictor,baseline,none,frozen_v0_2,0,314,3.0313572883605957,8.121865272521973,0.17989898813787428
CuiHacohen2023,Control1NNPredictor,baseline,none,frozen_v0_2,1,313,8.124893188476562,12.03896713256836,0.34292639311640044
CuiHacohen2023,Control1NNPredictor,baseline,none,frozen_v0_2,2,313,12.053791999816895,18.796836853027344,0.2754806210209656
CuiHacohen2023,Control1NNPredictor,baseline,none,frozen_v0_2,3,313,18.797576904296875,279.1910095214844,0.460655659919347
CuiHacohen2023,Control1NNPredictor,baseline,none,predicted_magnitude,0,314,3.0313572883605957,8.121865272521973,0.8031994370354818
CuiHacohen2023,Control1NNPredictor,baseline,none,predicted_magnitude,1,313,8.124893188476562,12.03896713256836,0.5974535594942091
CuiHacohen2023,Control1NNPredictor,baseline,none,predicted_magnitude,2,313,12.053791999816895,18.796836853027344,0.27936551729818665
CuiHacohen2023,Control1NNPredictor,baseline,none,predicted_magnitude,3,313,18.797576904296875,279.1910095214844,0.0597975424834306
CuiHacohen2023,Control1NNPredictor,baseline,none,random,0,314,3.0313572883605957,8.121865272521973,0.030692334378079184
CuiHacohen2023,Control1NNPredictor,baseline,none,random,1,313,8.124893188476562,12.03896713256836,0.002994722889322825
CuiHacohen2023,Control1NNPredictor,baseline,none,random,2,313,12.053791999816895,18.796836853027344,-0.0752148428769063
CuiHacohen2023,Control1NNPredictor,baseline,none,random,3,313,18.797576904296875,279.1910095214844,-0.03242638782433741
CuiHacohen2023,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0,314,3.0313572883605957,8.121865272521973,0.44811067892487294
CuiHacohen2023,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,1,313,8.124893188476562,12.03896713256836,0.4741283702135838
CuiHacohen2023,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,2,313,12.053791999816895,18.796836853027344,0.23779955320823515
CuiHacohen2023,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,3,313,18.797576904296875,279.1910095214844,0.11895742461067751
CuiHacohen2023,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0,314,3.0313572883605957,8.121865272521973,0.4494582383493129
CuiHacohen2023,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1,313,8.124893188476562,12.03896713256836,0.46080516693143
CuiHacohen2023,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,2,313,12.053791999816895,18.796836853027344,0.24344491533495916
CuiHacohen2023,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,3,313,18.797576904296875,279.1910095214844,0.07505384343417977
CuiHacohen2023,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0,314,3.0313572883605957,8.121865272521973,0.106058825097275
CuiHacohen2023,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1,313,8.124893188476562,12.03896713256836,0.16896930783605627
CuiHacohen2023,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,2,313,12.053791999816895,18.796836853027344,-0.009161063825343848
CuiHacohen2023,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,3,313,18.797576904296875,279.1910095214844,0.06606359933414478
CuiHacohen2023,Control1NNPredictor,lopo,full,lopo_full,0,314,3.0313572883605957,8.121865272521973,0.5668081452951298
CuiHacohen2023,Control1NNPredictor,lopo,full,lopo_full,1,313,8.124893188476562,12.03896713256836,0.6165576998885072
CuiHacohen2023,Control1NNPredictor,lopo,full,lopo_full,2,313,12.053791999816895,18.796836853027344,0.5060237899158778
CuiHacohen2023,Control1NNPredictor,lopo,full,lopo_full,3,313,18.797576904296875,279.1910095214844,0.3761858933257448
CuiHacohen2023,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0,314,3.0313572883605957,8.121865272521973,0.5722025508814265
CuiHacohen2023,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,1,313,8.124893188476562,12.03896713256836,0.6271777296652208
CuiHacohen2023,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,2,313,12.053791999816895,18.796836853027344,0.533146990527082
CuiHacohen2023,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,3,313,18.797576904296875,279.1910095214844,0.392019295388118
CuiHacohen2023,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0,314,3.0313572883605957,8.121865272521973,0.30879958293006743
CuiHacohen2023,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1,313,8.124893188476562,12.03896713256836,0.45028231209499503
CuiHacohen2023,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,2,313,12.053791999816895,18.796836853027344,0.35293509920087657
CuiHacohen2023,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,3,313,18.797576904296875,279.1910095214844,0.38506746447835816
CuiHacohen2023,PertMeanPredictor,baseline,none,frozen_v0_2,0,314,3.0313572883605957,8.121865272521973,0.42019165452958
CuiHacohen2023,PertMeanPredictor,baseline,none,frozen_v0_2,1,313,8.124893188476562,12.03896713256836,0.47247598355125675
CuiHacohen2023,PertMeanPredictor,baseline,none,frozen_v0_2,2,313,12.053791999816895,18.796836853027344,0.33207387533205074
CuiHacohen2023,PertMeanPredictor,baseline,none,frozen_v0_2,3,313,18.797576904296875,279.1910095214844,0.5646471769617412
CuiHacohen2023,PertMeanPredictor,baseline,none,predicted_magnitude,0,314,3.0313572883605957,8.121865272521973,0.7551499828589152
CuiHacohen2023,PertMeanPredictor,baseline,none,predicted_magnitude,1,313,8.124893188476562,12.03896713256836,0.4362656652816885
CuiHacohen2023,PertMeanPredictor,baseline,none,predicted_magnitude,2,313,12.053791999816895,18.796836853027344,0.043911473811604526
CuiHacohen2023,PertMeanPredictor,baseline,none,predicted_magnitude,3,313,18.797576904296875,279.1910095214844,-0.2050571106335697
CuiHacohen2023,PertMeanPredictor,baseline,none,random,0,314,3.0313572883605957,8.121865272521973,0.08044276867052147
CuiHacohen2023,PertMeanPredictor,baseline,none,random,1,313,8.124893188476562,12.03896713256836,-0.1252213019678069
CuiHacohen2023,PertMeanPredictor,baseline,none,random,2,313,12.053791999816895,18.796836853027344,-0.008270549580250237
CuiHacohen2023,PertMeanPredictor,baseline,none,random,3,313,18.797576904296875,279.1910095214844,-0.04774682898347455
CuiHacohen2023,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0,314,3.0313572883605957,8.121865272521973,0.4604517031166875
CuiHacohen2023,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,1,313,8.124893188476562,12.03896713256836,0.4996560133869101
CuiHacohen2023,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,2,313,12.053791999816895,18.796836853027344,0.30552471318058944
CuiHacohen2023,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,3,313,18.797576904296875,279.1910095214844,0.0648487290200912
CuiHacohen2023,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0,314,3.0313572883605957,8.121865272521973,0.420272134473448
CuiHacohen2023,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1,313,8.124893188476562,12.03896713256836,0.44676408327968364
CuiHacohen2023,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,2,313,12.053791999816895,18.796836853027344,0.27446192630839816
CuiHacohen2023,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,3,313,18.797576904296875,279.1910095214844,-0.02314181380594103
CuiHacohen2023,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0,314,3.0313572883605957,8.121865272521973,0.43612521990914654
CuiHacohen2023,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1,313,8.124893188476562,12.03896713256836,0.45758958162072166
CuiHacohen2023,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,2,313,12.053791999816895,18.796836853027344,0.3178430032981434
CuiHacohen2023,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,3,313,18.797576904296875,279.1910095214844,0.13284579054086026
CuiHacohen2023,PertMeanPredictor,lopo,full,lopo_full,0,314,3.0313572883605957,8.121865272521973,0.6079452614972851
CuiHacohen2023,PertMeanPredictor,lopo,full,lopo_full,1,313,8.124893188476562,12.03896713256836,0.6059491694130604
CuiHacohen2023,PertMeanPredictor,lopo,full,lopo_full,2,313,12.053791999816895,18.796836853027344,0.5717510624355502
CuiHacohen2023,PertMeanPredictor,lopo,full,lopo_full,3,313,18.797576904296875,279.1910095214844,0.4067296558910101
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0,314,3.0313572883605957,8.121865272521973,0.5879910190404483
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,1,313,8.124893188476562,12.03896713256836,0.5835016497372167
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,2,313,12.053791999816895,18.796836853027344,0.5702620188417933
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,3,313,18.797576904296875,279.1910095214844,0.3877712148110799
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0,314,3.0313572883605957,8.121865272521973,0.556978994361221
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1,313,8.124893188476562,12.03896713256836,0.5724354577443836
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,2,313,12.053791999816895,18.796836853027344,0.6083835681625713
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,3,313,18.797576904296875,279.1910095214844,0.49549882363622416
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,0,159,2.105267286300659,2.5118207931518555,0.5044465560828323
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,1,158,2.5121395587921143,2.8305065631866455,0.25324980570039685
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,2,158,2.834611177444458,3.2675139904022217,-0.1429457012954224
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,3,158,3.270176410675049,8.537299156188965,0.1721134969825807
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,0,159,2.105267286300659,2.5118207931518555,0.8904705678305456
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,1,158,2.5121395587921143,2.8305065631866455,0.806630926957115
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,2,158,2.834611177444458,3.2675139904022217,0.7047832892937503
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,3,158,3.270176410675049,8.537299156188965,0.8463295006139685
Frangieh,Control1NNPredictor,baseline,none,random,0,159,2.105267286300659,2.5118207931518555,-0.004497682866748855
Frangieh,Control1NNPredictor,baseline,none,random,1,158,2.5121395587921143,2.8305065631866455,0.03339027941659013
Frangieh,Control1NNPredictor,baseline,none,random,2,158,2.834611177444458,3.2675139904022217,-0.04804561313680827
Frangieh,Control1NNPredictor,baseline,none,random,3,158,3.270176410675049,8.537299156188965,-0.04941130118346977
