gene_order,gene_name
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,C1orf112
5,FGR
6,CFH
7,FUCA2
8,GCLC
9,NFYA
10,STPG1
11,NIPAL3
12,LAS1L
13,ENPP4
14,SEMA3F
15,CFTR
16,ANKIB1
17,CYP51A1
18,KRIT1
19,RAD52
20,MYH16
21,BAD
22,LAP3
23,CD99
24,HS3ST1
25,AOC1
26,WNT16
27,HECW1
28,MAD1L1
29,LASP1
30,SNX11
31,TMEM176A
32,M6PR
33,KLHL13
34,CYP26B1
35,ICA1
36,DBNDD1
37,ALS2
38,CASP10
39,CFLAR
40,TFPI
41,NDUFAF7
42,RBM5
43,MTMR7
44,SLC7A2
45,ARF5
46,SARM1
47,POLDIP2
48,PLXND1
49,AK2
50,CD38
51,FKBP4
52,KDM1A
53,RBM6
54,CAMKK1
55,RECQL
56,VPS50
57,HSPB6
58,ARHGAP33
59,NDUFAB1
60,PDK4
61,SLC22A16
62,ZMYND10
63,ABCB5
64,ARX
65,SLC25A13
66,ST7
67,CDC27
68,SLC4A1
69,CALCR
70,HCCS
71,DVL2
72,PRSS22
73,UPF1
74,SKAP2
75,SLC25A5
76,MCUB
77,HOXA11
78,POLR2J
79,DHX33
80,MEOX1
81,THSD7A
82,LIG3
83,RPAP3
84,ACSM3
85,REXO5
86,CIAPIN1
87,SPPL2B
88,ATOSB
89,COPZ2
90,PRKAR2B
91,MSL3
92,CREBBP
93,TSPOAP1
94,MPO
95,PON1
96,GCFC2
97,WDR54
98,CROT
99,ABCB4
100,KMT2E
101,RHBDD2
102,SOX8
103,IBTK
104,ZNF195
105,MYCBP2
106,FBXL3
107,ITGAL
108,PDK2
109,ITGA3
110,ZFX
111,LAMP2
112,ITGA2B
113,ASB4
114,GDE1
115,REX1BD
116,CRLF1
117,OSBPL7
118,TMEM98
119,YBX2
120,KRT33A
121,MAP3K14
122,ABCC8
123,CACNG3
124,TMEM132A
125,AP2B1
126,TAC1
127,ZNF263
128,CX3CL1
129,SPATA20
130,CACNA1G
131,TNFRSF12A
132,DLX6
133,MAP3K9
134,RALA
135,BAIAP2L1
136,KDM7A
137,ETV1
138,AGK
139,ALDH3B1
140,TTC22
141,PHTF2
142,CCL26
143,FARP2
144,USH1C
145,GGCT
146,DBF4
147,TBXA2R
148,IFRD1
149,LGALS14
150,COX10
151,GTF2IRD1
152,PAF1
153,VPS41
154,ARHGAP44
155,ELAC2
156,SCIN
157,ARSD
158,PNPLA4
159,MYH13
160,ADIPOR2
161,CDKL3
162,UPP2
163,PRSS21
164,MARK4
165,PROM1
166,CCDC124
167,CEACAM21
168,PAFAH1B1
169,NOS2
170,DNAH9
171,BLTP2
172,SLC13A2
173,GAS7
174,TRAPPC6A
175,MATK
176,CEACAM7
177,CD79B
178,SCN4A
179,ST7L
180,TKTL1
181,PAX6
182,RPUSD1
183,RHBDF1
184,LUC7L
185,CACNA2D2
186,BAIAP3
187,TSR3
188,PIGQ
189,CRAMP1
190,TEAD3
191,SELE
192,DNAJC11
193,FMO3
194,MYLIP
195,NOX1
196,E2F2
197,PSMB1
198,SYN1
199,JARID2
200,CDKL5
201,CAMK1G
202,CDK11A
203,NADK
204,TFAP2B
205,TFAP2D
206,DLEC1
207,CYTH3
208,ADAM22
209,SYPL1
210,CYB561
211,SPAG9
212,CELSR3
213,AASS
214,PLEKHG6
215,SS18L2
216,MPND
217,MGST1
218,CRY1
219,PGLYRP1
220,NFIX
221,ST3GAL1
222,MMP25
223,IL32
224,PKD1
225,MAPK8IP2
226,MED24
227,RHOBTB2
228,HEATR5B
229,SEC62
230,RPS20
231,CSDE1
232,UBE3C
233,REV3L
234,TENM1
235,PAX7
236,MASP2
237,IYD
238,FAM76A
239,TRAF3IP3
240,POMT2
241,VTA1
242,MLXIPL
243,BAZ1B
244,RANBP9
245,ETV7
246,SPRTN
247,METTL13
248,DYRK4
249,ZNF207
250,UQCRC1
251,STARD3NL
252,CD9
253,HHATL
254,NCAPD2
255,IFFO1
256,GIPR
257,PHF7
258,SEMA3G
259,NISCH
260,STAB1
261,FUZ
262,SLC6A13
263,IDS
264,PRSS3
265,ZNF200
266,CD4
267,LRRC23
268,BTK
269,HFE
270,SCMH1
271,FYN
272,HIVEP2
273,FMO1
274,ELOA
275,LYPLA2
276,CLCN6
277,MRC2
278,NME1-NME2
279,SLC6A7
280,TSPAN9
281,BTBD7
282,APBA3
283,MKS1
284,ABHD5
285,ANOS1
286,AKAP8L
287,MBTD1
288,UTP18
289,RNF216
290,TTC19
291,PTBP1
292,DPF1
293,SYT7
294,LARS2
295,PIK3C2A
296,PLAUR
297,ANLN
298,WIZ
299,RABGAP1
300,DCN
301,QPCTL
302,PPP5C
303,CEP68
304,MAP4K3
305,ZBTB32
306,TYROBP
307,LDAF1
308,GABRA3
309,BRCA1
310,ERCC1
311,CD22
312,SEMA3B
313,MBTPS2
314,PRICKLE3
315,LTF
316,EXTL3
317,NR1H4
318,ELOVL5
319,ALOX5
320,KDM5D
321,CALCOCO1
322,UBR7
323,MAP4K5
324,EHD3
325,PSMC4
326,MAN2B2
327,SLC7A14
328,CLDN11
329,SLC25A39
330,MVP
331,NUB1
332,PGM3
333,RWDD2A
334,CLK1
335,POLR3B
336,ANGEL1
337,RNF14
338,DNASE1L1
339,DDX11
340,HEBP1
341,GPRC5A
342,MAMLD1
343,CD6
344,TACC3
345,UFL1
346,POLA2
347,ZC3H3
348,CAPN1
349,ACP3
350,MDH1
351,SLC30A9
352,MTMR11
353,COX15
354,CCDC88C
355,YAF2
356,ZMYND11
357,WAS
358,DPEP1
359,BID
360,MATR3
361,NPC1L1
362,XYLT2
363,RGPD5
364,STMN4
365,NUDCD3
366,ISL1
367,CHDH
368,IL20RA
369,CLCA1
370,CLCA4
371,GLT8D1
372,ATP2C1
373,IGF1
374,SLC38A5
375,RALBP1
376,RUFY3
377,CNTN1
378,SLC11A1
379,WWTR1
380,AGPS
381,ZNF285CP
382,STEEP1
383,ATP1A2
384,TTC27
385,ZNF582
386,VSIG2
387,PHLDB1
388,MARCO
389,CYP24A1
390,PRDM11
391,SYT13
392,SNAI2
393,CD74
394,HGF
395,ZRANB1
396,NCDN
397,ADGRA2
398,CCT8L1P
399,ZFP64
400,MNAT1
401,SAMD4A
402,RUNX3
403,MRE11
404,PLEKHB1
405,SERPINB1
406,CYP3A43
407,SLC7A9
408,SPAST
409,NRXN3
410,OSBPL5
411,AQR
412,CPS1
413,C8B
414,FHL1
415,RTF2
416,GABRA1
417,NLRP2
418,SLC45A4
419,RNF10
420,ZNF839
421,ZDHHC6
422,GRAMD1B
423,RNH1
424,NDUFS1
425,RB1CC1
426,ERP44
427,ALAS1
428,BIRC3
429,AKAP11
430,GLRX2
431,SNAPC1
432,DERA
433,STRAP
434,ABCC2
435,DEF6
436,PLEKHO1
437,GCLM
438,UBR2
439,EHD2
440,DEPDC1
441,CCDC28A
442,RRAGD
443,HSF2
444,PHF20
445,HSD17B6
446,NR1H3
447,TYMP
448,NCAPH2
449,TOMM34
450,SEC63
451,KPNA6
452,VIM
453,RTEL1-TNFRSF6B
454,FAS
455,RNASET2
456,CD44
457,KCNG1
458,AGPAT4
459,SLAMF7
460,BTN3A1
461,MIPEP
462,PRKCH
463,INSRR
464,IFNGR1
465,B4GALT7
466,SH2D2A
467,VRK2
468,TNFRSF1B
469,VEZT
470,POU2F2
471,BRD9
472,SNX1
473,TBPL1
474,BMAL2
475,BCLAF1
476,SLC39A9
477,ANK1
478,IBSP
479,TFB1M
480,RABEP1
481,HMGB3
482,NUP160
483,BAK1
484,MUSK
485,IKZF2
486,GRN
487,FAM13B
488,ARHGAP31
489,CENPQ
490,SARS1
491,RANBP3
492,ARID4A
493,EIPR1
494,PNPLA6
495,IFT88
496,ALG1
497,ZCCHC8
498,ABCF2
499,CHPF2
500,LRRC7
501,FUT8
502,UBA6
503,GAB2
504,ATP6V0A1
505,PIAS1
506,SLC4A7
507,APBA2
508,MAP2K3
509,CLXN
510,TMSB10
511,ASTE1
512,RNF19A
513,PEX3
514,GABARAPL2
515,MYOC
516,SH3YL1
517,FAM136A
518,VCL
519,DEPDC1B
520,DAPK2
521,NSMAF
522,ADSS2
523,STAP1
524,TIMP2
525,RFC1
526,TBC1D23
527,CUL3
528,MYOM2
529,OTC
530,CYP46A1
531,ZZZ3
532,SLC18A1
533,USP2
534,CASR
535,TUBG2
536,RPL26L1
537,FLT4
538,NSUN2
539,FBXO42
540,MFAP3
541,MRI1
542,METTL1
543,HOXC8
544,AGA
545,PI4K2B
546,BOD1L1
547,MAT2B
548,TLL1
549,EDC4
550,TRIO
551,VCAN
552,CLEC16A
553,MSR1
554,CDH1
555,MTREX
556,DNAH5
557,ZFYVE16
558,RIPOR1
559,C6
560,RAI14
561,SOX30
562,PNKP
563,BEST2
564,PHLPP2
565,SPDL1
566,STAU2
567,SLC66A1
568,CTNS
569,RTN4R
570,PHF23
571,CDH10
572,INPP4A
573,RAB27B
574,PSMA4
575,MYO16
576,LSG1
577,PARP3
578,TNC
579,THAP3
580,RIPOR3
581,TDP1
582,AIFM2
583,C2orf83
584,SPATA7
585,MED17
586,RETSAT
587,CAPG
588,AP2S1
589,USH2A
590,ZPBP
591,TG
592,ADAM28
593,BARX2
594,DCUN1D1
595,JADE2
596,ZIC2
597,LCP2
598,TRIT1
599,ADRB1
600,GUCA2B
601,CUL7
602,CTNNA1
603,PHKA2
604,CNTLN
605,EPHA3
606,HSPA5
607,DSG2
608,GEMIN8
609,OFD1
610,GPM6B
611,MAGEC2
612,PREX2
613,WDR37
614,YTHDC2
615,CTPS2
616,ATP6V1H
617,POLR2B
618,ATOSA
619,ARAP2
620,TPR
621,CP
622,KATNIP
623,DTNBP1
624,XK
625,ANO2
626,C12orf4
627,SCML1
628,WWC3
629,ARHGAP6
630,FAM184B
631,MAP4
632,GOPC
633,ROS1
634,USP28
635,HDAC9
636,TSPAN17
637,NOP16
638,CC2D2A
639,RRM2B
640,ZNF800
641,TNFRSF17
642,SNX29
643,LMO3
644,MRPS10
645,GUCA1A
646,RSF1
647,VPS13D
648,CELF2
649,FAM120A
650,R3HDM1
651,COL9A2
652,KITLG
653,ERCC8
654,ADAMTS6
655,H6PD
656,VAMP3
657,PER3
658,UTS2
659,TNFRSF9
660,EPN3
661,LTBP1
662,RCN1
663,ELN
664,RFC2
665,ARID1B
666,CLPTM1L
667,NEDD4L
668,FOXP3
669,PPP1R3F
670,HEXB
671,PTCD2
672,NEXMIF
673,JKAMP
674,DKK3
675,ARHGEF5
676,NFE2L3
677,MCUR1
678,LIMA1
679,LETMD1
680,SLC4A8
681,LAMC3
682,PTGER3
683,TNIP3
684,MAPK9
685,COL23A1
686,BCAR1
687,FHIP1B
688,HERPUD1
689,HOMER3
690,RAD51
691,POLQ
692,PIK3CB
693,CYBA
694,THOC3
695,HEBP2
696,MPHOSPH9
697,PLEKHA5
698,PRSS8
699,SIKE1
700,RRP12
701,FNIP2
702,MSMO1
703,TTC17
704,ALX4
705,FSTL4
706,FOXN3
707,METTL24
708,AKR7A2
709,MRTO4
710,NNAT
711,USE1
712,MCF2L2
713,NRIP2
714,LAMA3
715,AP5M1
716,ANAPC4
717,KCNQ1
718,TRAPPC3
719,THRAP3
720,PHPT1
721,ENTPD2
722,LY75
723,ARID4B
724,OPN3
725,SDCCAG8
726,PTPRN
727,HHAT
728,KIF1B
729,FOXC1
730,TBC1D22A
731,SYNE2
732,PLEKHH1
733,ATP9A
734,SPO11
735,CBLN4
736,CHRDL2
737,FAM168A
738,RELT
739,GALC
740,NOP58
741,SZRD1
742,KCNH2
743,CUL1
744,FAM114A2
745,CYFIP2
746,TAB2
747,GINM1
748,EIF2AK2
749,USP36
750,KMT2C
751,MCOLN3
752,CCDC85A
753,PUM2
754,MRPL43
755,ITIH4
756,ITIH1
757,HPF1
758,ZFR
759,ZNF280C
760,NPFFR2
761,PHF21B
762,TRAF1
763,RC3H2
764,IL17RB
765,TRAF3IP2
766,GYG2
767,DCBLD2
768,SERPINB3
769,SOAT1
770,PKP2
771,MSH4
772,F7
773,GDI2
774,PRDM1
775,ATG5
776,TMCC3
777,PITHD1
778,MTA3
779,USP13
780,ATP11B
781,LAMC2
782,CDK14
783,SEC61A1
784,PPP1R12A
785,RASGRF1
786,CAMK2B
787,CROCC
788,POLR3E
789,ATP2B4
790,ZC3H11A
791,RIOK2
792,YIPF1
793,NDC1
794,DGKG
795,FLYWCH1
796,UNKL
797,TBXAS1
798,PARP12
799,ALDH18A1
800,TARBP1
801,GATB
802,MXD1
803,CDK17
804,DNAJC25
805,SLC2A3
806,PSD
807,CTDP1
808,YBX3
809,STYK1
810,WNK1
811,RPS17P5
812,CCAR1
813,OGFR
814,GNA15
815,CREB3L3
816,PIGV
817,PTPRU
818,SNRNP40
819,RIMBP2
820,COL11A1
821,QSER1
822,MPC1
823,ACAA1
824,BCAT1
825,HDAC7
826,LZTS1
827,PRDM6
828,WNT8A
829,SPAG4
830,NCKAP1
831,MRPS35
832,GUCY1B1
833,SFSWAP
834,TNK2
835,MON2
836,CDH3
837,ARSF
838,GPBP1
839,DGAT2
840,ZNF112
841,CS
842,LTK
843,MRPS24
844,ELMO2
845,WAPL
846,VMP1
847,APPBP2
848,POLD1
849,SEZ6
850,EIF4B
851,SLC6A16
852,BICRA
853,SPHK2
854,RPL18
855,CA11
856,ISOC2
857,U2AF2
858,EPN1
859,MED29
860,AHRR
861,GSC2
862,ZNF275
863,MTMR1
864,GPC1
865,ADCK1
866,HAGH
867,RNF4
868,CASP8
869,LIMCH1
870,INTS13
871,TM7SF3
872,DLX3
873,SPA17
874,TSPAN32
875,CCN5
876,DMRT3
877,ST3GAL6
878,ATP2C2
879,NGFR
880,CDON
881,TAF2
882,HIPK2
883,TNPO3
884,BORCS8-MEF2B
885,RFXANK
886,TMEM161A
887,LPAR2
888,CTSA
889,SUGP2
890,SLC12A2
891,SNX24
892,EYA2
893,CNN2
894,ABCA7
895,SNCAIP
896,DDX20
897,BTBD1
898,FAR2
899,BCAS1
900,POU1F1
901,CHI3L2
902,SBNO2
903,PMS1
904,HMG20B
905,CALCRL
906,TAF11
907,ANKS1A
908,AP3D1
909,ZNF76
910,SLC9A3R2
911,NTHL1
912,BLTP3A
913,GNAI3
914,IPO5
915,OAT
916,WDR3
917,PKN2
918,WDR18
919,TRAM2
920,NTN1
921,GLP2R
922,MCM10
923,DGKA
924,ERBB3
925,ROPN1
926,ANKRD44
927,KARS1
928,ADAT1
929,PDIA5
930,TBC1D22B
931,NDUFB4
932,SPEN
933,MYLK
934,ZC3H15
935,MAP2K4
936,PACC1
937,SNAP91
938,SLK
939,CYB5R4
940,COL17A1
941,GSTO2
942,SEC61A2
943,PRKCQ
944,TLE2
945,ASB1
946,FAM107B
947,ME1
948,TBC1D1
949,CDK13
950,MTHFD2
951,SLC9A7
952,FOXJ2
953,YBX1
954,PDE4A
955,PPP2R5A
956,CTNNA2
957,ELAVL1
958,TIE1
959,DIP2B
960,SMARCD1
961,KDM4A
962,NFYC
963,ZMYND12
964,SLC9A3
965,NGEF
966,ASPM
967,CD84
968,ELOVL1
969,SPI1
970,POLR1H
971,MPPED2
972,CLDN18
973,ZBTB11
974,ATXN3
975,GOLGA5
976,FGFR2
977,LRRC40
978,ISOC1
979,EML1
980,TRMT11
981,THUMPD1
982,MSANTD3
983,KIF26A
984,ATG2B
985,ARFGEF1
986,ACSM2B
987,ZFAT
988,MTFR1
989,STAG3
990,FECH
991,MYO9A
992,DDX3Y
993,PFKP
994,IDI1
995,SP100
996,KLF6
997,PLPP1
998,NEO1
999,TRAM1
