dataset_name,score_name,feature_name,low_risk_median,high_risk_median,high_minus_low
CuiHacohen2023,predicted_magnitude,context_similarity_max,0.9783999265591132,0.9751319855445404,-0.0032679410145728394
CuiHacohen2023,predicted_magnitude,context_similarity_mean,0.867787169568282,0.8617374155174666,-0.006049754050815315
CuiHacohen2023,predicted_magnitude,historical_residual_risk,0.1319855882776606,0.2287833799255597,0.09679779164789909
CuiHacohen2023,predicted_magnitude,model_disagreement_cosine,0.1020796102567807,0.0283187451669468,-0.0737608650898339
CuiHacohen2023,predicted_magnitude,model_disagreement_rmse,0.0292811936853393,0.0662960169353454,0.0370148232500061
CuiHacohen2023,predicted_magnitude,ood_mean_k_distance,,,
CuiHacohen2023,predicted_magnitude,ood_nearest_distance,,,
CuiHacohen2023,predicted_magnitude,perturbation_effect_stability,0.0835960343581187,0.5287642295451027,0.44516819518698403
CuiHacohen2023,predicted_magnitude,perturbation_effect_variance,0.0230183284729719,0.1314332485198974,0.1084149200469255
CuiHacohen2023,predicted_magnitude,perturbation_support_count,9.0,9.0,0.0
CuiHacohen2023,predicted_magnitude,prediction_abs_mean,0.0115495426580309,0.0321162045001983,0.020566661842167402
CuiHacohen2023,predicted_magnitude,prediction_l2_norm,4.370394229888916,16.427194595336914,12.056800365447998
CuiHacohen2023,predicted_magnitude,prediction_magnitude_deviation,1.016195162509516,0.3086542249043731,-0.7075409376051429
CuiHacohen2023,predicted_magnitude,prediction_norm_ratio,0.3619695487621609,1.3615914746719997,0.9996219259098388
CuiHacohen2023,protocol_v0_2_family_confidence,context_similarity_max,0.980911305820674,0.7632117734443465,-0.21769953237632744
CuiHacohen2023,protocol_v0_2_family_confidence,context_similarity_mean,0.8720083010566464,0.5693519367511494,-0.302656364305497
CuiHacohen2023,protocol_v0_2_family_confidence,historical_residual_risk,0.1383669095874062,0.17314042692125448,0.034773517333848286
CuiHacohen2023,protocol_v0_2_family_confidence,model_disagreement_cosine,0.03111123490815895,0.07224212221871901,0.041130887310560055
CuiHacohen2023,protocol_v0_2_family_confidence,model_disagreement_rmse,0.024322953261913152,0.0747546479500994,0.05043169468818624
CuiHacohen2023,protocol_v0_2_family_confidence,ood_mean_k_distance,,,
CuiHacohen2023,protocol_v0_2_family_confidence,ood_nearest_distance,,,
CuiHacohen2023,protocol_v0_2_family_confidence,perturbation_effect_stability,0.2509715960272343,0.3454075072245235,0.09443591119728922
CuiHacohen2023,protocol_v0_2_family_confidence,perturbation_effect_variance,0.0236590914428234,0.0327011886984109,0.009042097255587498
CuiHacohen2023,protocol_v0_2_family_confidence,perturbation_support_count,10.0,9.0,-1.0
CuiHacohen2023,protocol_v0_2_family_confidence,prediction_abs_mean,0.0152196269482374,0.021913222968578297,0.006693596020340897
