gene_name,ensembl_id,ncounts,ncells
MIR1302-10,ENSG00000243485,8.0,8
FAM138A,ENSG00000237613,0.0,0
OR4F5,ENSG00000186092,0.0,0
RP11-34P13.7,ENSG00000238009,802.0,798
RP11-34P13.8,ENSG00000239945,7.0,7
AL627309.1,ENSG00000237683,2674.0,2580
RP11-34P13.14,ENSG00000239906,0.0,0
RP11-34P13.9,ENSG00000241599,5.0,5
AP006222.2,ENSG00000228463,101950.0,64215
RP4-669L17.10,ENSG00000237094,1658.0,1633
OR4F29,ENSG00000235249,0.0,0
RP4-669L17.2,ENSG00000236601,100.0,98
RP5-857K21.15,ENSG00000236743,11.0,11
RP5-857K21.1,ENSG00000231709,28.0,28
RP5-857K21.2,ENSG00000235146,13.0,13
RP5-857K21.3,ENSG00000239664,25.0,25
RP5-857K21.4,ENSG00000230021,85.0,85
RP5-857K21.5,ENSG00000223659,1.0,1
OR4F16,ENSG00000185097,0.0,0
RP11-206L10.3,ENSG00000235373,3359.0,3233
RP11-206L10.5,ENSG00000240618,20.0,20
RP11-206L10.4,ENSG00000229905,9.0,9
RP11-206L10.2,ENSG00000228327,896.0,887
RP11-206L10.9,ENSG00000237491,6020.0,5721
AL669831.1,ENSG00000269831,2.0,2
FAM87B,ENSG00000177757,637.0,596
LINC00115,ENSG00000225880,7431.0,6881
FAM41C,ENSG00000230368,16963.0,14865
AL645608.2,ENSG00000269308,0.0,0
RP11-54O7.16,ENSG00000272438,80.0,79
