gene_index,true_effect,predicted_effect,difference_pred_minus_true,squared_error
4027,-53.239746,-28.664219,24.575527,603.95654
1989,-17.188065,-1.2634083,15.924656,253.59467
1900,-5.616184,8.323977,13.940162,194.32811
564,-15.828059,-7.513909,8.31415,69.12509
490,-6.714135,-0.506358,6.207777,38.536495
2915,-7.7091618,-1.7369549,5.972207,35.667255
1902,-6.4879446,-0.91126114,5.5766835,31.0994
1966,-0.2915913,-5.3783545,-5.0867634,25.875162
3761,-11.23629,-6.20146,5.03483,25.349514
924,-4.2487946,0.66242236,4.9112167,24.12005
4130,-5.9353523,-1.124754,4.8105984,23.141857
1967,-0.2724533,-4.4104476,-4.1379943,17.122997
2170,-3.7192585,0.35660422,4.075863,16.612658
859,-13.522453,-17.522144,-3.999691,15.997528
2226,0.71684754,-3.0990558,-3.8159032,14.561117
166,-5.161091,-1.7507603,3.4103305,11.630354
1362,-4.455696,-1.1139996,3.3416965,11.166936
4171,-8.843279,-12.012412,-3.1691332,10.043406
3713,-4.677969,-7.6629753,-2.9850063,8.910263
2308,-3.7451782,-0.8329341,2.912244,8.481166
610,-2.8158526,0.0770102,2.8928628,8.368655
201,-4.581073,-1.9551978,2.625875,6.8952193
3497,-4.141802,-1.7174946,2.4243073,5.877266
1727,-4.417119,-2.1127944,2.3043246,5.309912
4069,-0.12492466,-2.3598404,-2.2349157,4.9948483
1986,-5.702532,-3.497096,2.2054358,4.863947
3115,-2.7840567,-0.6214391,2.1626177,4.676915
570,-2.022152,0.025177881,2.04733,4.19156
3255,-6.088909,-4.042148,2.046761,4.189231
4284,-0.13939118,-2.092557,-1.9531658,3.8148565
