e174_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e174_selection_sha256,e174_column_unseen_sha256,target_stratum,e174_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_targets,selection_used_expression_effect_error_or_e173_outcome
401,R03,1,ENSG00000107771,CCSER2,2,CCSER2-1+CCSER2-2,True,CCSER2,True,True,CCSER2,True,True,100ebbc02097743e2159190717d97e2789009269662104b71acf1265bf6fc103,cefd56e46f3912f52484970608f115b24ebd4fb2f29b91409d2ae02b62c7b575,1b6cad7c7e89e43b337e313af45fcc0955c1066b8007e165c3aa0471778691ec,b80928ad0f126233c373d7b19c0562eddd153f183be23b170fc68862564f3f04,DONOR_UNSEEN_ONLY,6f17e66f173bf1b7a54c24575493b305e7b8a834fead57d69ba02203a6190f98,EVALUATION_80PCT,6,True,False
402,R03,2,ENSG00000144747,TMF1,2,TMF1-1+TMF1-2,True,TMF1,True,True,TMF1,True,True,a2e870f4f0555134499f4fde919ece69fbe4f5faff4a53290616532212918552,25fb4d5dc423550585fa327b009bf236dbbd541d20ea9aba9fda8cb1f0554658,1b7441f1bdd813133f1b51dfc5ad5a93888a78e1c967bd93340826b744698a80,ca5c4707e47d9fc8a9b0c5aaa45d9d8a21ce53db26789360a6300e760d7b5ca2,DONOR_UNSEEN_ONLY,1800d7dbabc1a1e7e693ae980467490d00bbe7cb1dcf76c15c221df48be38e1e,CALIBRATION_20PCT,6,True,False
403,R03,3,ENSG00000253831,ETV3L,2,ETV3L-1+ETV3L-2,True,ETV3L,True,True,ETV3L,True,True,40fc19c1fb8b14ff5665969944dddc9f7b7f934080fc8f41009d1b31118ea5fe,b0bd17f91f60f3e5d8abd91ad68ce3a71bccf0c07017477a00ffe5b0772c577e,1b7507702dc2094cb233549ca98975c323448a36f499bbab9c78252e4bd24da5,fc8946b643b6dd6ee7b9594abe293cf67945aa1f592fc0b9d1670502f69821aa,DONOR_UNSEEN_ONLY,063284f3970c1cd30c9d264ba2d826f52ede2c67bf16f202987ba91165c040fa,CALIBRATION_20PCT,6,True,False
404,R03,4,ENSG00000145725,PPIP5K2,2,PPIP5K2-1+PPIP5K2-2,True,PPIP5K2,True,True,PPIP5K2,True,True,e03c5cca622246d46564aa65352e4e7b557d169f6999bfdc385798ef13722b20,6ae3ca137070a7e920443da61ebf887685b26ca0fb2022839158a47422f16c41,1ba26d2242a574eb9b9887a3ef54337e2386e84bfdad2705cba3495e8dd61d3b,16599e1ab149d6e4a14ccc60631f394de367556d392165a1f8f8d1b4d61fcdda,COLUMN_UNSEEN,7e409110a250d7c13912f8b87a42191171741af0b079be986c0763bef8429554,EVALUATION_80PCT,0,True,False
405,R03,5,ENSG00000103365,GGA2,2,GGA2-1+GGA2-2,True,GGA2,True,True,GGA2,True,True,8ca457ac7d855cd635ead895117f2b7d51c87f1e43d7699cf6ce339312ced72a,59c067e3a7e9d996a3d6b946296237680a9850566dd7212cf9208bd80fcb62ba,1bb7645947501a49411c7afb37d6c99c6408e32b090e8f676608e698b09c6ab5,2ff3b4aa9cfdae566f7d5cf2173ac1b01a8880bf5b6966fee2ce9503949cb682,COLUMN_UNSEEN,767bdc9c7250c685611a99fc7ca772a005e62bb89bf7fc93657422d59ab3c096,EVALUATION_80PCT,0,True,False
406,R03,6,ENSG00000135077,HAVCR2,2,HAVCR2-1+HAVCR2-2,True,HAVCR2,True,True,HAVCR2,True,True,58a74ad656e76e72f00821934ca5485eb946bba46a8d2c52bb0d29330aa2c599,7b6a8e7978288c12c870ab4947d01a1754ad1eb564c9044141e7e26ce2ac13a3,1bbe3f14cc1bcc8ca0952219d85e1d40b1c36945d939eb005fe3a001fb926790,6fe2af078d254472fde181731b9a7951f4aa7febbd3556ff6c8328ac374aaea2,DONOR_UNSEEN_ONLY,e8a123e12b32ff51ff5a41df8d32a16ca75e6d2bb40871be961a5b57a55735b4,EVALUATION_80PCT,6,True,False
407,R03,7,ENSG00000115241,PPM1G,2,PPM1G-1+PPM1G-2,True,PPM1G,True,True,PPM1G,True,True,dc21424cea9bf2ed4a00bf624b3299fbd73cdf6b87dc891eb5d0edcec39ce2b2,72a013ad4e3a94188c854190772c225a20508f3bc0321ce7d8d40bc3af28d5e8,1c222ab2b5ce98215fa33e7379e2bffe9c8abc0b5ebdc0c09c1cc17278bed6ef,f3896319ccce6e4af237839c6519ff30c70b6bec8547491485808413f80f8075,DONOR_UNSEEN_ONLY,a49bd8f67cc4a68f3a04649d5fc31970623559718df6bfb56721b78ea4c9cf75,EVALUATION_80PCT,6,True,False
408,R03,8,ENSG00000183255,PTTG1IP,2,PTTG1IP-1+PTTG1IP-2,True,PTTG1IP,True,True,PTTG1IP,True,True,d7a77fc30134c7c1359c43653d2cf2c0c52dec02def76a619b56944af01f4d82,50921a49822cd2592994717fc8ade690d57884feeae35a75908c325211f57d2b,1c27cd3a476f0ef8673fc793e0ee3a3db2026c5ddcca7db318545e97b679bbde,9e091beee4167535334663198c8b702034dfec25c7023b7bdd8f53ca1af29e23,DONOR_UNSEEN_ONLY,479c46a9964f0e6bea0804d8f0a767e5e7e1b7670df6dce930b1688246937a21,EVALUATION_80PCT,6,True,False
409,R03,9,ENSG00000036257,CUL3,2,CUL3-1+CUL3-2,True,CUL3,True,True,CUL3,True,True,d7c4f6fb33ff5f6f04ae8e1943ba45c50d47ab4ce1ebbc3b77331698db473421,d6ae4c2c2295e5b7fee2cb3be5b0aeb18cd27b5ff8419c93764dac10f5251a26,1c35ea6a36359b0d5313880ce7a94d14b7c3c49d6821f9cd73d67602f433a559,705de1e0033a9f4e87d419a4a872e445f87bc9a145ed0a69c3e8d145f7042527,DONOR_UNSEEN_ONLY,4e67cd6c50c8bbb8461c3ebb0d040db09ce4eb3e0eacc1cc1eb0929512d5dea7,EVALUATION_80PCT,6,True,False
410,R03,10,ENSG00000067167,TRAM1,2,TRAM1-1+TRAM1-2,True,TRAM1,True,True,TRAM1,True,True,4b818c32623e924a974100f401718a4463e0972c1dc6727fa78b6e3a97a7e8e3,535e80367523ffdb38fcdeb5eb37c224191d6c06255f2087e72ac81074fe1511,1c40f72f8171a0c312cb80321491e36a9c0c26a1989110ead798bcd39275a4cb,f268c901ee1f1883f408a26901df2fdd9a1294685f495105b5a256497e7d5f24,DONOR_UNSEEN_ONLY,eba4fcd0ccb21fdbd832cc40f6c10ab654eaf81b1b893ff784fb236339432f1c,EVALUATION_80PCT,6,True,False
