e177_target_rank,perturbation,n_exact_cells,1,2,3,4,5,6,7,8,in_expression_var,in_scgpt_vocab,is_single_gene_label,min_exact_cells_per_technical_group,n_technical_groups_with_cells,eligible_e177_target,e177_selection_sha256,cell_count_quartile,e177_split_sha256,target_split,selection_used_expression_matrix_or_truth_error,technical_group_label_is_biological_context
1,ACE2,134,14,18,17,15,10,24,22,14,True,True,True,10,8,True,0da197935a322708b0b981b3331bd9c360cd2389e45356691b1b1e50dff3eec3,Q3,71de4ef451b1cb84e4da2d018310ff61079c2e88f6006af3e021c86e04f0e796,calibration,False,False
2,ATF4,95,14,9,12,15,11,10,12,12,True,True,True,9,8,True,9b019949d482dd34f618557ef8ea5363650d0d3e9131bdf1c0a6ae9f9196bcce,Q2,82438ce861d63389617abfb7f2584e841e038b68ed6de64a2190c86a4fed3ff1,calibration,False,False
3,CASP7,86,10,9,9,11,12,16,9,10,True,True,True,9,8,True,5fdc3dc9a5fc8289f496caae8a5c85a4407d4823b696cce778bb9becb3f047b9,Q1_low,5e34c8173cd3ea7629ac30f4d46eda9088de51c81c6cff3098d2c72bf0fb8514,calibration,False,False
4,COG5,103,15,13,10,14,12,17,10,12,True,True,True,10,8,True,876ace00e2484ac4848c5d31d66a344aa0db330bd1313030c183c41d0c052b9d,Q2,4f532488119972f704b03772e3f775a4f6c7fd65dedc0afe6a72ab26a47dd4dc,calibration,False,False
5,CTSB,108,18,9,15,9,16,14,13,14,True,True,True,9,8,True,418d6711aca975141e37b0930f40d90472b0c121f2c467bf895268235f049705,Q2,7543588f8cfd718cea073753d036adf9b9826587470a000811b9d7d5f72b0db9,calibration,False,False
6,EIF3F,73,12,4,12,14,7,3,7,14,True,True,True,3,8,True,2c6c82dab69205c74163b7fe173e88e27f3a4ce7e878277200b46d162a992f3a,Q1_low,614c5027f2107000664ab565d5350271dae06438a373039149296b91a1881282,calibration,False,False
7,EIF4B,111,8,16,13,22,15,13,7,17,True,True,True,7,8,True,0cb1cbf9ccd1b399fdbf600482a362efbab98a1d97b4f2ae9ab21e156449a316,Q2,5bfabe3275e0f198dca5952d1edf453f63ce8dd51caeaa6784ddb667ab0fa18e,calibration,False,False
8,EIF4H,137,20,16,13,26,17,16,19,10,True,True,True,10,8,True,e5909482bf9185d50e8232381aecdd33883f71fa4f0f9e6b86fd0f28deb41da8,Q3,b11943031f95cf774a7bada8b2c2a82ae2d09108cb438dde1679bda4ba8c85a1,calibration,False,False
9,EXOC2,184,25,24,25,24,22,19,21,24,True,True,True,19,8,True,3058c5008b4ff60fd85e95f5803c545854db672604733a3201f18f726cfc2f8a,Q4_high,66236a1221c6db913705dcb6d5035e12a4208f911b326341e193eb8ee91a5742,calibration,False,False
10,EXOC8,683,84,108,75,69,74,91,91,91,True,True,True,69,8,True,6b8a66245d1b379b1c6b3ed28959d8211fe671dea716629605c219c12805876c,Q4_high,5b3b3707e6535725a49ce5d96ce598797f0c8c1527d1cffe24c172836378d10c,calibration,False,False
11,F2RL1,131,18,19,14,23,12,18,14,13,True,True,True,12,8,True,e3ece916ddf792ddabcd743bc67f47c971a91860d07d62b14aa0a9b9592f90b8,Q3,6542f3ecc1f44b5722acd8c0559c262a78084d3f4a5d365f7b72702510a32a43,calibration,False,False
12,HDAC2,76,14,12,9,9,4,8,8,12,True,True,True,4,8,True,c9aa05f62696fdba64e2b659768bf6eb369a1d1bd407ffcb9993a556c03c5929,Q1_low,706cb37ab7255818daa993277dcbcd0930ab6975bec58172346d57137bb09ba0,calibration,False,False
13,IFITM2,151,18,18,24,20,28,13,14,16,True,True,True,13,8,True,a727bd370e168cbdf457f982e0849610cda8bf7d0da8294036b5d8935211911b,Q3,950fee83d4c48765fa7e5a370b20cc7dadfd2c3202a5fd5b5def69e68af87ad0,calibration,False,False
14,IFNAR2,162,25,22,21,21,20,12,15,26,True,True,True,12,8,True,46d5a9a370a24c554172e2e1f9a9c9961b659ba699ab76b86ca101ae05d0e80b,Q4_high,5d03413cea428f819452b1f7df5824711d83decc30807e10ddac8d2c7e49cad3,calibration,False,False
15,ISG15,72,11,14,9,4,8,5,14,7,True,True,True,4,8,True,c0ed90afdb7214ca3df5dd3d02b6e34ac549c824f24f569ca32edc2e1a0bd187,Q1_low,59429a018c30817b60ac2dc432dfe82d438c5df268d07d1ae0ead52be3bb72f9,calibration,False,False
16,KEAP1,126,17,14,16,17,18,15,20,9,True,True,True,9,8,True,5857e6538ba7635fe339035dbe09198d2c71378fc729d0245b9b1ccab10ed726,Q3,853fee2e1b9ba5583ef556737f023cc9d68e4c29e8e7ab96f08e2618c7c86991,calibration,False,False
17,KPNA2,114,19,12,17,16,11,13,13,13,True,True,True,11,8,True,b5d2d5e107901eda36e242f1972112dd09eed6b758af4dfd2a54d3243829ebbc,Q2,9667b883dbb328ee4426bf829d7637757fe9aa3e2b5a373be404f6663b4ffd5c,calibration,False,False
