panel_id,perturbed_gene_id,e189_perturbation_role,reserved_random_pair_donor,reserved_random_pair_state,candidate_train_context_order,selection_sha256
H04,ENSG00000004139,SEEN_PERTURBATION,CE0008678,Stim48hr,CE0008678::Stim8hr|CE0008162::Stim8hr|CE0008678::Rest|CE0008162::Stim48hr|CE0008162::Rest,e6a908c338e04822c9874d1abaff36ff291376613296f45d418168e099200bc4
H04,ENSG00000006025,SEEN_PERTURBATION,CE0008678,Stim8hr,CE0008162::Rest|CE0008678::Stim48hr|CE0008162::Stim8hr|CE0008678::Rest|CE0008162::Stim48hr,4ceca4a647cf69d1b74c6791ee5a6ce86ff0ed5e5807d6efd9a9a360204e745b
H04,ENSG00000007264,SEEN_PERTURBATION,CE0008678,Stim48hr,CE0008162::Stim48hr|CE0008162::Stim8hr|CE0008678::Stim8hr|CE0008678::Rest|CE0008162::Rest,ca85917b17a7feb4777df7c8342008874feeb1f25bf0893506c4a5726260868a
H04,ENSG00000008324,SEEN_PERTURBATION,CE0008162,Rest,CE0008678::Stim8hr|CE0008678::Stim48hr|CE0008678::Rest|CE0008162::Stim48hr|CE0008162::Stim8hr,06a71885b5657630e372bf49630b58bedd69046e1fe8d9352ed283a7acb61f9b
H04,ENSG00000010361,SEEN_PERTURBATION,CE0008678,Rest,CE0008678::Stim48hr|CE0008162::Stim48hr|CE0008678::Stim8hr|CE0008162::Stim8hr|CE0008162::Rest,7e185be6d92b895ec30b7e173445e64b9cacec5d5e7befc8819c32e7dae7b027
H04,ENSG00000011258,SEEN_PERTURBATION,CE0008678,Rest,CE0008162::Stim48hr|CE0008162::Stim8hr|CE0008678::Stim48hr|CE0008678::Stim8hr|CE0008162::Rest,b5533de2884cb8f1462b36f15eb652acfce127a288f434c665a5ad11f3c0429f
H04,ENSG00000017260,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0008678::Rest|CE0008678::Stim8hr|CE0008162::Stim8hr|CE0008162::Rest|CE0008678::Stim48hr,e84000ee76195632c20f0ea4e081c2f787ab57ac98f45a2a47db2470f87237d9
H04,ENSG00000025156,SEEN_PERTURBATION,CE0008678,Stim48hr,CE0008162::Stim8hr|CE0008678::Rest|CE0008162::Stim48hr|CE0008162::Rest|CE0008678::Stim8hr,df1b6c57facc0837305064a1154f476c235e27ec354d1a83a6232e8a055415c5
H04,ENSG00000040633,SEEN_PERTURBATION,CE0008678,Rest,CE0008162::Rest|CE0008678::Stim8hr|CE0008678::Stim48hr|CE0008162::Stim8hr|CE0008162::Stim48hr,a9b23e02d172114f30eb00a644871bec3331dbf82e28918ebee5c43fda0defe3
H04,ENSG00000055147,SEEN_PERTURBATION,CE0008162,Rest,CE0008162::Stim8hr|CE0008678::Stim8hr|CE0008678::Stim48hr|CE0008678::Rest|CE0008162::Stim48hr,067bac858e509227bc3413d57bf66b51f7998f2cfa6498d0e0d7e2575412d250
H04,ENSG00000065675,SEEN_PERTURBATION,CE0008678,Stim48hr,CE0008678::Stim8hr|CE0008162::Rest|CE0008162::Stim8hr|CE0008162::Stim48hr|CE0008678::Rest,abaaf6d7476818eb32cf6d1f3ecad493ef2ca2feb6cf1d9c13f54d7c6a2eb924
H04,ENSG00000077147,SEEN_PERTURBATION,CE0008162,Stim8hr,CE0008678::Stim8hr|CE0008678::Stim48hr|CE0008678::Rest|CE0008162::Stim48hr|CE0008162::Rest,6d02d9f015ab171550f555e84e690ade2c21674573932bb67b09d3e38216201d
H04,ENSG00000080493,SEEN_PERTURBATION,CE0008678,Rest,CE0008162::Stim48hr|CE0008162::Rest|CE0008678::Stim48hr|CE0008162::Stim8hr|CE0008678::Stim8hr,3b2d84f2c2f8a3f3eeef51ff8903aa2e78677b6e1ab937bbe5294e33d171c3c8
H04,ENSG00000082153,SEEN_PERTURBATION,CE0008678,Rest,CE0008162::Stim48hr|CE0008678::Stim48hr|CE0008162::Rest|CE0008162::Stim8hr|CE0008678::Stim8hr,06d8d55b56cdffca771a0a6dff7cdc82a8dbe28e0bb9ae7376c844f5d45cff6b
H04,ENSG00000089094,SEEN_PERTURBATION,CE0008678,Stim48hr,CE0008678::Stim8hr|CE0008678::Rest|CE0008162::Stim48hr|CE0008162::Rest|CE0008162::Stim8hr,92fbf22c3974a7087adece1a269e6c088291d2c995e148caeddf17f5b92e3605
H04,ENSG00000090554,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0008162::Stim8hr|CE0008678::Rest|CE0008678::Stim48hr|CE0008678::Stim8hr|CE0008162::Rest,587a82057a1fb016d4acead7d6735263edbb4b4c8675a243579ca6546ddd98d5
H04,ENSG00000091409,SEEN_PERTURBATION,CE0008678,Rest,CE0008678::Stim8hr|CE0008162::Rest|CE0008162::Stim48hr|CE0008162::Stim8hr|CE0008678::Stim48hr,6d7461c9da79d368a53dca6c33b35d71abb1f2b1689839cd182e4906b1f71d7b
H04,ENSG00000095397,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0008678::Stim48hr|CE0008678::Rest|CE0008162::Rest|CE0008678::Stim8hr|CE0008162::Stim8hr,8bf73b9634dba0381c173fa5d93bfd0496fa0c7afeca1385c9a7dd54e09092dc
